,TF,Target,Label
0,4,830,1
1,4,569,1
2,4,894,1
3,4,536,1
4,4,795,1
5,4,437,1
6,4,623,1
7,14,573,1
8,14,67,1
9,14,223,1
10,14,229,1
11,14,757,1
12,14,906,1
13,14,632,1
14,14,578,1
15,14,827,1
16,14,348,1
17,14,309,1
18,14,536,1
19,14,488,1
20,16,46,1
21,19,433,1
22,19,734,1
23,19,228,1
24,19,682,1
25,21,706,1
26,21,359,1
27,21,24,1
28,24,21,1
29,24,609,1
30,24,788,1
31,24,100,1
32,27,330,1
33,27,223,1
34,27,87,1
35,27,498,1
36,27,177,1
37,30,565,1
38,31,97,1
39,31,528,1
40,31,107,1
41,31,828,1
42,31,162,1
43,31,33,1
44,31,474,1
45,31,507,1
46,31,609,1
47,31,487,1
48,31,213,1
49,31,816,1
50,31,241,1
51,31,413,1
52,31,730,1
53,31,665,1
54,35,199,1
55,35,678,1
56,35,541,1
57,35,516,1
58,35,358,1
59,35,125,1
60,35,423,1
61,35,40,1
62,35,452,1
63,35,651,1
64,35,206,1
65,35,196,1
66,35,53,1
67,35,164,1
68,35,512,1
69,38,40,1
70,38,621,1
71,40,264,1
72,40,257,1
73,40,423,1
74,40,881,1
75,40,38,1
76,40,512,1
77,40,848,1
78,40,618,1
79,41,125,1
80,41,815,1
81,42,891,1
82,45,330,1
83,52,868,1
84,52,219,1
85,57,270,1
86,65,74,1
87,69,603,1
88,69,76,1
89,69,206,1
90,69,366,1
91,69,568,1
92,69,77,1
93,69,794,1
94,69,576,1
95,69,121,1
96,69,60,1
97,69,317,1
98,69,117,1
99,69,100,1
100,69,78,1
101,69,254,1
102,69,735,1
103,69,384,1
104,69,223,1
105,69,765,1
106,69,507,1
107,74,242,1
108,74,366,1
109,74,450,1
110,74,794,1
111,74,580,1
112,74,455,1
113,74,331,1
114,74,353,1
115,75,52,1
116,76,651,1
117,77,385,1
118,77,664,1
119,77,835,1
120,77,27,1
121,77,264,1
122,77,788,1
123,77,596,1
124,77,801,1
125,77,331,1
126,77,857,1
127,77,340,1
128,77,76,1
129,77,655,1
130,77,765,1
131,77,757,1
132,77,580,1
133,77,74,1
134,77,713,1
135,77,863,1
136,77,737,1
137,77,896,1
138,77,439,1
139,77,377,1
140,77,270,1
141,77,901,1
142,77,515,1
143,77,521,1
144,77,906,1
145,77,455,1
146,77,56,1
147,77,32,1
148,77,489,1
149,77,266,1
150,77,300,1
151,80,145,1
152,81,330,1
153,81,326,1
154,85,341,1
155,85,168,1
156,85,533,1
157,85,526,1
158,85,730,1
159,85,585,1
160,85,772,1
161,85,282,1
162,85,12,1
163,85,438,1
164,85,273,1
165,85,857,1
166,85,648,1
167,85,528,1
168,85,417,1
169,85,628,1
170,85,369,1
171,85,330,1
172,85,65,1
173,85,450,1
174,85,77,1
175,85,478,1
176,85,425,1
177,85,380,1
178,85,3,1
179,85,640,1
180,85,618,1
181,85,889,1
182,85,22,1
183,85,350,1
184,85,634,1
185,85,828,1
186,85,80,1
187,85,105,1
188,85,432,1
189,85,865,1
190,85,20,1
191,85,861,1
192,85,569,1
193,85,690,1
194,85,896,1
195,85,448,1
196,85,343,1
197,85,37,1
198,85,737,1
199,85,408,1
200,85,549,1
201,85,76,1
202,85,150,1
203,85,274,1
204,85,770,1
205,85,385,1
206,85,88,1
207,85,616,1
208,85,491,1
209,85,579,1
210,85,307,1
211,85,658,1
212,85,462,1
213,85,522,1
214,85,403,1
215,85,795,1
216,85,538,1
217,85,709,1
218,85,135,1
219,85,157,1
220,85,583,1
221,85,222,1
222,85,776,1
223,85,775,1
224,85,384,1
225,85,176,1
226,85,552,1
227,85,682,1
228,85,453,1
229,85,483,1
230,85,69,1
231,85,665,1
232,85,529,1
233,85,487,1
234,85,40,1
235,85,372,1
236,85,265,1
237,85,558,1
238,85,787,1
239,85,827,1
240,85,859,1
241,85,800,1
242,85,284,1
243,85,876,1
244,85,47,1
245,85,388,1
246,85,698,1
247,85,589,1
248,85,517,1
249,85,623,1
250,85,141,1
251,85,365,1
252,85,52,1
253,85,895,1
254,85,498,1
255,85,23,1
256,85,169,1
257,85,670,1
258,85,110,1
259,85,613,1
260,85,114,1
261,85,600,1
262,85,704,1
263,85,508,1
264,85,160,1
265,85,788,1
266,87,806,1
267,87,651,1
268,87,906,1
269,87,75,1
270,87,566,1
271,87,35,1
272,87,392,1
273,87,531,1
274,87,4,1
275,87,770,1
276,87,27,1
277,87,800,1
278,87,343,1
279,87,384,1
280,87,548,1
281,87,158,1
282,87,85,1
283,87,541,1
284,87,408,1
285,87,374,1
286,87,348,1
287,87,81,1
288,87,176,1
289,87,599,1
290,87,330,1
291,87,228,1
292,87,39,1
293,87,76,1
294,87,41,1
295,87,720,1
296,87,575,1
297,87,88,1
298,87,290,1
299,87,410,1
300,87,609,1
301,87,366,1
302,87,494,1
303,95,330,1
304,95,40,1
305,100,24,1
306,102,817,1
307,102,848,1
308,102,366,1
309,102,325,1
310,102,415,1
311,102,330,1
312,102,732,1
313,110,770,1
314,110,330,1
315,110,517,1
316,110,828,1
317,110,295,1
318,110,41,1
319,110,102,1
320,110,880,1
321,110,356,1
322,110,900,1
323,110,231,1
324,110,706,1
325,110,612,1
326,117,396,1
327,117,410,1
328,119,834,1
329,121,58,1
330,121,729,1
331,121,308,1
332,121,761,1
333,121,262,1
334,121,158,1
335,121,772,1
336,121,24,1
337,121,877,1
338,121,590,1
339,121,380,1
340,121,618,1
341,121,207,1
342,121,377,1
343,121,609,1
344,121,536,1
345,121,788,1
346,121,817,1
347,121,170,1
348,121,843,1
349,121,384,1
350,121,494,1
351,121,795,1
352,121,74,1
353,121,674,1
354,121,791,1
355,121,699,1
356,121,276,1
357,121,498,1
358,121,27,1
359,121,55,1
360,121,47,1
361,121,566,1
362,121,903,1
363,121,117,1
364,121,531,1
365,123,420,1
366,123,391,1
367,123,508,1
368,123,456,1
369,123,477,1
370,123,591,1
371,123,643,1
372,123,582,1
373,123,125,1
374,123,289,1
375,123,830,1
376,123,404,1
377,123,841,1
378,123,219,1
379,123,178,1
380,123,650,1
381,123,255,1
382,123,662,1
383,123,305,1
384,123,814,1
385,123,535,1
386,123,795,1
387,123,529,1
388,123,908,1
389,123,37,1
390,123,99,1
391,123,416,1
392,123,528,1
393,123,102,1
394,123,41,1
395,123,171,1
396,123,316,1
397,123,817,1
398,123,74,1
399,123,504,1
400,123,59,1
401,123,699,1
402,123,889,1
403,123,545,1
404,123,190,1
405,123,898,1
406,123,470,1
407,123,221,1
408,123,780,1
409,123,587,1
410,123,160,1
411,123,376,1
412,123,818,1
413,123,187,1
414,123,539,1
415,123,707,1
416,123,419,1
417,123,128,1
418,123,89,1
419,123,111,1
420,123,741,1
421,123,879,1
422,123,249,1
423,123,719,1
424,123,16,1
425,123,727,1
426,123,458,1
427,123,501,1
428,123,676,1
429,123,561,1
430,123,280,1
431,123,429,1
432,123,31,1
433,123,627,1
434,123,459,1
435,123,402,1
436,123,56,1
437,123,523,1
438,123,270,1
439,123,600,1
440,123,116,1
441,123,896,1
442,123,843,1
443,123,647,1
444,123,186,1
445,123,65,1
446,123,518,1
447,124,91,1
448,124,384,1
449,124,110,1
450,124,841,1
451,124,883,1
452,124,582,1
453,124,640,1
454,124,223,1
455,124,625,1
456,125,415,1
457,125,862,1
458,125,160,1
459,125,830,1
460,125,866,1
461,125,736,1
462,125,593,1
463,125,706,1
464,125,69,1
465,125,129,1
466,125,463,1
467,125,553,1
468,125,705,1
469,125,144,1
470,125,484,1
471,125,27,1
472,125,350,1
473,125,694,1
474,125,396,1
475,125,121,1
476,125,846,1
477,125,734,1
478,125,642,1
479,125,284,1
480,125,620,1
481,125,795,1
482,125,46,1
483,125,41,1
484,125,498,1
485,125,644,1
486,125,380,1
487,125,609,1
488,125,889,1
489,125,698,1
490,125,85,1
491,125,77,1
492,144,542,1
493,145,80,1
