,TF,Target,Label
0,2,747,1
1,9,747,1
2,9,1235,1
3,9,472,1
4,9,1016,1
5,15,866,1
6,15,620,1
7,15,747,1
8,15,47,1
9,20,610,1
10,26,1106,1
11,31,610,1
12,31,723,1
13,36,1026,1
14,36,644,1
15,36,478,1
16,43,1016,1
17,43,341,1
18,43,625,1
19,43,493,1
20,43,838,1
21,43,1014,1
22,44,341,1
23,47,672,1
24,47,610,1
25,48,268,1
26,48,158,1
27,48,614,1
28,48,1138,1
29,48,325,1
30,48,308,1
31,48,645,1
32,48,747,1
33,48,1235,1
34,48,405,1
35,48,819,1
36,48,1410,1
37,48,1257,1
38,48,1202,1
39,48,1215,1
40,48,730,1
41,48,798,1
42,48,1086,1
43,48,599,1
44,48,672,1
45,48,1228,1
46,48,886,1
47,48,981,1
48,48,704,1
49,52,285,1
50,52,826,1
51,52,375,1
52,53,1005,1
53,53,494,1
54,57,1228,1
55,57,101,1
56,57,495,1
57,57,1014,1
58,57,341,1
59,57,844,1
60,57,255,1
61,57,592,1
62,57,596,1
63,57,491,1
64,60,473,1
65,60,1228,1
66,60,181,1
67,60,1138,1
68,60,1411,1
69,61,153,1
70,61,1280,1
71,61,902,1
72,61,1210,1
73,61,516,1
74,61,1249,1
75,61,587,1
76,61,1243,1
77,61,1215,1
78,61,1240,1
79,61,718,1
80,61,1402,1
81,61,669,1
82,61,1287,1
83,61,1228,1
84,61,134,1
85,61,899,1
86,61,68,1
87,61,1207,1
88,61,1045,1
89,61,491,1
90,61,1177,1
91,61,992,1
92,61,550,1
93,61,815,1
94,61,642,1
95,61,162,1
96,61,444,1
97,65,1148,1
98,65,495,1
99,75,664,1
100,75,904,1
101,75,1092,1
102,75,903,1
103,80,585,1
104,80,1145,1
105,80,711,1
106,80,610,1
107,80,882,1
108,80,985,1
109,80,649,1
110,80,427,1
111,80,1313,1
112,80,1196,1
113,80,1088,1
114,80,1062,1
115,80,592,1
116,80,55,1
117,80,1371,1
118,81,427,1
119,81,806,1
120,81,1218,1
121,81,1383,1
122,86,242,1
123,86,826,1
124,88,57,1
125,88,1014,1
126,88,763,1
127,89,1148,1
128,89,1184,1
129,93,1005,1
130,97,1352,1
131,97,997,1
132,97,1402,1
133,97,61,1
134,97,1124,1
135,98,1288,1
136,101,57,1
137,110,1247,1
138,110,495,1
139,110,1127,1
140,110,31,1
141,110,655,1
142,110,341,1
143,110,819,1
144,110,1106,1
145,110,1213,1
146,110,975,1
147,110,285,1
148,110,930,1
149,110,1062,1
150,110,902,1
151,110,11,1
152,110,693,1
153,110,877,1
154,110,417,1
155,110,1347,1
156,110,351,1
157,110,27,1
158,110,80,1
159,110,890,1
160,110,1236,1
161,110,1004,1
162,110,1159,1
163,112,1235,1
164,112,900,1
165,113,1062,1
166,113,177,1
167,113,1369,1
168,113,796,1
169,113,89,1
170,121,610,1
171,125,398,1
172,125,415,1
173,125,724,1
174,125,1262,1
175,125,732,1
176,125,253,1
177,125,1221,1
178,129,1196,1
179,129,375,1
180,132,255,1
181,132,844,1
182,139,1301,1
183,140,41,1
184,140,831,1
185,140,724,1
186,140,150,1
187,140,262,1
188,140,60,1
189,140,1194,1
190,140,214,1
191,140,197,1
192,140,1362,1
193,140,992,1
194,140,283,1
195,140,846,1
196,140,901,1
197,140,1175,1
198,140,1221,1
199,140,1270,1
200,140,307,1
201,140,1238,1
202,140,323,1
203,140,5,1
204,140,1010,1
205,140,318,1
206,140,915,1
207,140,237,1
208,140,126,1
209,140,78,1
210,140,2,1
211,140,481,1
212,140,296,1
213,140,496,1
214,140,1100,1
215,140,1237,1
216,140,440,1
217,140,678,1
218,140,181,1
219,140,1418,1
220,140,838,1
221,140,1019,1
222,140,1250,1
223,140,1127,1
224,140,1349,1
225,140,731,1
226,140,1007,1
227,140,1365,1
228,147,550,1
229,150,1114,1
230,158,1133,1
231,158,1261,1
232,158,235,1
233,158,610,1
234,174,747,1
235,174,13,1
236,176,427,1
237,180,4,1
238,194,1148,1
239,194,1256,1
240,194,610,1
241,194,383,1
242,197,283,1
243,200,1014,1
244,200,763,1
245,202,796,1
246,202,1383,1
247,204,107,1
248,204,205,1
249,204,1138,1
250,204,181,1
251,205,1016,1
252,205,1127,1
253,205,870,1
254,205,855,1
255,205,1426,1
256,205,1086,1
257,205,1170,1
258,205,1224,1
259,205,1191,1
260,205,1143,1
261,205,322,1
262,205,324,1
263,205,310,1
264,205,383,1
265,205,609,1
266,205,311,1
267,205,992,1
268,205,344,1
269,205,1042,1
270,205,1142,1
271,205,538,1
272,205,1145,1
273,205,809,1
274,205,215,1
275,205,11,1
276,205,1040,1
277,205,981,1
278,205,931,1
279,205,1059,1
280,205,490,1
281,205,1124,1
282,205,346,1
283,205,1371,1
284,205,1017,1
285,205,1354,1
286,205,409,1
287,205,878,1
288,205,150,1
289,205,230,1
290,205,587,1
291,205,1396,1
292,205,304,1
293,205,696,1
294,205,689,1
295,205,969,1
296,205,258,1
297,205,1327,1
298,205,351,1
299,205,359,1
300,205,1076,1
301,205,1183,1
302,205,1215,1
303,205,840,1
304,205,1316,1
305,205,1350,1
306,205,779,1
307,205,235,1
308,205,1168,1
309,205,719,1
310,205,486,1
311,205,129,1
312,205,725,1
313,205,1051,1
314,205,784,1
315,205,801,1
316,205,795,1
317,205,540,1
318,205,303,1
319,205,1163,1
320,205,341,1
321,205,158,1
322,205,1230,1
323,205,405,1
324,205,1286,1
325,205,1391,1
326,205,1271,1
327,205,209,1
328,205,348,1
329,205,1399,1
330,205,558,1
331,205,856,1
332,205,580,1
333,205,615,1
