,TF,Target,Label
0,0,567,1
1,0,208,1
2,0,770,1
3,0,464,1
4,0,782,1
5,0,184,1
6,0,586,1
7,0,228,1
8,0,816,1
9,0,551,1
10,5,495,1
11,5,350,1
12,5,727,1
13,5,424,1
14,6,302,1
15,14,485,1
16,14,95,1
17,14,32,1
18,14,320,1
19,14,802,1
20,14,411,1
21,14,345,1
22,14,402,1
23,14,803,1
24,14,40,1
25,14,451,1
26,14,559,1
27,14,290,1
28,14,163,1
29,14,553,1
30,14,397,1
31,14,366,1
32,14,240,1
33,15,497,1
34,16,43,1
35,24,811,1
36,24,625,1
37,24,455,1
38,24,717,1
39,26,268,1
40,26,154,1
41,26,424,1
42,26,198,1
43,26,681,1
44,26,765,1
45,26,119,1
46,26,353,1
47,26,641,1
48,26,397,1
49,26,6,1
50,26,603,1
51,26,579,1
52,26,30,1
53,26,340,1
54,29,610,1
55,32,451,1
56,32,553,1
57,32,109,1
58,32,290,1
59,32,163,1
60,32,536,1
61,32,40,1
62,32,618,1
63,32,803,1
64,32,366,1
65,32,559,1
66,32,47,1
67,34,184,1
68,34,688,1
69,34,43,1
70,34,436,1
71,34,536,1
72,34,447,1
73,34,601,1
74,34,385,1
75,34,315,1
76,42,244,1
77,42,330,1
78,42,167,1
79,42,464,1
80,42,612,1
81,42,300,1
82,42,777,1
83,42,55,1
84,42,778,1
85,42,185,1
86,42,160,1
87,42,809,1
88,42,752,1
89,43,717,1
90,43,181,1
91,43,353,1
92,43,210,1
93,43,509,1
94,43,548,1
95,43,253,1
96,43,198,1
97,43,529,1
98,43,627,1
99,43,350,1
100,43,98,1
101,44,311,1
102,44,494,1
103,47,631,1
104,50,103,1
105,61,777,1
106,61,320,1
107,68,567,1
108,68,551,1
109,68,228,1
110,68,652,1
111,71,287,1
112,71,692,1
113,71,616,1
114,71,631,1
115,71,727,1
116,76,333,1
117,79,561,1
118,79,139,1
119,79,171,1
120,79,727,1
121,80,221,1
122,80,439,1
123,80,580,1
124,80,518,1
125,80,776,1
126,80,258,1
127,80,138,1
128,80,380,1
129,80,804,1
130,80,772,1
131,80,691,1
132,80,435,1
133,80,609,1
134,80,40,1
135,80,533,1
136,80,197,1
137,80,421,1
138,80,180,1
139,80,304,1
140,80,717,1
141,80,570,1
142,80,45,1
143,80,156,1
144,80,457,1
145,80,736,1
146,80,237,1
147,80,301,1
148,80,193,1
149,80,46,1
150,80,740,1
151,80,489,1
152,80,350,1
153,80,619,1
154,80,721,1
155,80,790,1
156,80,96,1
157,80,464,1
158,80,305,1
159,80,553,1
160,80,394,1
161,80,548,1
162,80,496,1
163,80,361,1
164,80,274,1
165,80,662,1
166,80,135,1
167,80,155,1
168,80,523,1
169,80,149,1
170,80,594,1
171,80,384,1
172,80,157,1
173,80,238,1
174,80,707,1
175,80,465,1
176,80,412,1
177,80,32,1
178,80,596,1
179,80,241,1
180,80,725,1
181,80,641,1
182,80,645,1
183,80,802,1
184,80,233,1
185,80,352,1
186,80,360,1
187,80,801,1
188,80,798,1
189,80,327,1
190,80,615,1
191,80,127,1
192,80,522,1
193,80,539,1
194,80,419,1
195,80,261,1
196,80,627,1
197,83,456,1
198,83,777,1
199,83,712,1
200,83,745,1
201,83,499,1
202,83,136,1
203,83,557,1
204,83,774,1
205,83,589,1
206,83,641,1
207,83,397,1
208,83,350,1
209,83,142,1
210,83,459,1
211,83,176,1
212,83,303,1
213,83,678,1
214,83,207,1
215,83,11,1
216,83,432,1
217,83,275,1
218,83,625,1
219,83,48,1
220,83,223,1
221,83,529,1
222,83,430,1
223,83,729,1
224,83,564,1
225,83,43,1
226,83,717,1
227,86,424,1
228,86,353,1
229,86,497,1
230,86,26,1
231,86,557,1
232,86,207,1
233,86,647,1
234,86,198,1
235,86,777,1
236,86,320,1
237,86,635,1
238,86,787,1
239,86,453,1
240,86,717,1
241,86,566,1
242,86,39,1
243,86,301,1
244,86,681,1
245,86,299,1
246,86,702,1
247,86,483,1
248,86,654,1
249,86,538,1
250,86,725,1
251,86,656,1
252,86,805,1
253,86,44,1
254,86,788,1
255,86,113,1
256,90,745,1
257,91,479,1
258,96,740,1
259,96,10,1
260,96,249,1
261,96,613,1
262,96,108,1
263,96,485,1
264,96,112,1
265,96,736,1
266,98,399,1
267,98,729,1
268,98,301,1
269,98,244,1
270,119,26,1
271,119,557,1
272,119,702,1
273,119,497,1
274,132,300,1
275,134,713,1
276,134,174,1
277,134,247,1
278,134,782,1
279,134,151,1
280,134,587,1
281,134,265,1
282,134,464,1
283,134,344,1
284,135,275,1
285,135,268,1
286,136,503,1
287,136,730,1
288,136,320,1
289,136,564,1
290,136,470,1
291,136,330,1
292,136,589,1
293,136,143,1
294,136,251,1
295,136,83,1
296,139,105,1
297,139,493,1
298,139,648,1
299,139,198,1
300,139,160,1
301,139,28,1
302,139,268,1
303,139,777,1
304,139,820,1
305,139,577,1
306,139,233,1
307,142,160,1
308,142,675,1
309,143,136,1
310,146,184,1
311,146,0,1
312,146,782,1
313,146,464,1
314,146,551,1
315,146,200,1
316,146,652,1
317,146,645,1
318,151,652,1
319,151,0,1
320,151,200,1
321,151,645,1
322,151,273,1
323,151,667,1
324,151,329,1
325,151,587,1
326,151,228,1
327,151,174,1
328,151,237,1
329,151,551,1
330,151,179,1
331,151,816,1
332,151,713,1
333,153,301,1
334,153,277,1
335,157,752,1
336,157,631,1
337,157,130,1
338,157,80,1
339,158,583,1
340,158,10,1
341,158,75,1
342,158,613,1
343,158,371,1
344,158,22,1
345,158,108,1
346,158,736,1
347,158,148,1
348,158,249,1
349,171,79,1
350,171,616,1
351,171,692,1
352,171,287,1
353,171,561,1
354,174,134,1
355,174,652,1
356,174,587,1
357,174,179,1
358,174,667,1
359,174,645,1
360,174,329,1
361,174,273,1
362,174,716,1
363,174,191,1
364,174,713,1
365,174,782,1
366,174,200,1
367,174,228,1
368,176,503,1
369,176,332,1
370,176,439,1
371,176,83,1
372,176,360,1
373,176,85,1
374,176,488,1
375,176,104,1
376,176,184,1
377,176,154,1
378,176,333,1
379,176,145,1
380,176,720,1
381,176,683,1
382,176,142,1
383,176,692,1
384,176,300,1
385,176,544,1
386,176,48,1
387,176,613,1
388,176,466,1
389,176,625,1
390,176,510,1
391,176,678,1
392,176,700,1
393,176,320,1
394,176,491,1
395,176,722,1
396,176,603,1
397,176,689,1
398,176,758,1
399,176,124,1
400,176,557,1
401,176,574,1
402,176,131,1
403,176,221,1
404,176,285,1
405,176,303,1
406,176,803,1
407,176,260,1
408,176,508,1
409,176,318,1
410,176,795,1
411,176,343,1
412,179,652,1
413,179,332,1
414,179,134,1
415,179,273,1
416,179,587,1
417,179,551,1
418,179,567,1
419,179,586,1
420,179,228,1
421,181,769,1
422,184,782,1
423,184,146,1
424,184,464,1
425,184,151,1
426,184,174,1
427,184,645,1
428,184,652,1
429,184,551,1
430,187,441,1
431,191,493,1
432,191,614,1
433,191,551,1
434,191,672,1
435,191,716,1
436,191,301,1
437,191,174,1
438,191,151,1
439,191,228,1
440,191,76,1
441,192,300,1
442,198,761,1
443,198,293,1
444,198,2,1
445,198,210,1
446,198,654,1
447,198,779,1
448,198,18,1
449,198,320,1
450,198,725,1
451,198,769,1
452,198,136,1
453,198,26,1
454,198,809,1
455,198,439,1
456,198,275,1
457,198,301,1
458,198,755,1
459,198,525,1
460,198,774,1
461,198,144,1
462,199,798,1
463,201,135,1
464,203,441,1
465,203,287,1
466,205,494,1
467,210,577,1
468,210,43,1
469,210,657,1
470,210,350,1
471,215,238,1
472,215,759,1
473,228,247,1
474,228,200,1
475,228,716,1
476,228,329,1
477,228,68,1
478,228,273,1
479,228,652,1
480,228,816,1
481,228,184,1
482,228,464,1
483,228,191,1
484,228,134,1
485,228,586,1
486,228,146,1
487,228,551,1
488,228,174,1
489,237,446,1
490,238,166,1
491,238,742,1
492,238,259,1
493,238,215,1
494,240,14,1
495,240,446,1
496,240,99,1
497,240,713,1
498,243,770,1
499,244,319,1
500,244,98,1
501,245,441,1
502,246,271,1
503,247,567,1
504,247,228,1
505,247,265,1
506,247,464,1
507,247,179,1
508,247,587,1
509,247,134,1
510,247,174,1
511,253,459,1
512,259,287,1
513,259,350,1
514,259,160,1
515,259,301,1
516,259,727,1
517,259,631,1
518,259,712,1
519,259,71,1
520,263,319,1
521,263,350,1
522,263,455,1
523,263,441,1
524,265,816,1
525,265,713,1
526,265,151,1
527,265,4,1
528,265,782,1
529,265,273,1
530,265,464,1
531,265,480,1
532,265,587,1
533,265,567,1
534,268,26,1
535,268,749,1
536,268,270,1
537,268,301,1
538,268,139,1
539,268,313,1
540,268,496,1
541,268,474,1
542,268,745,1
543,268,333,1
544,268,240,1
545,268,497,1
546,268,284,1
547,268,242,1
548,268,659,1
549,270,684,1
550,270,749,1
551,270,350,1
552,270,650,1
553,270,268,1
554,273,174,1
555,273,567,1
556,273,782,1
557,273,586,1
558,273,134,1
559,273,464,1
560,273,247,1
561,273,449,1
562,273,179,1
563,275,98,1
564,275,135,1
565,275,389,1
566,275,751,1
567,275,765,1
568,275,245,1
569,275,347,1
570,275,424,1
571,277,641,1
572,277,153,1
573,277,198,1
574,277,717,1
575,277,268,1
576,277,353,1
577,277,348,1
578,284,436,1
579,284,166,1
580,286,810,1
581,286,774,1
582,286,300,1
583,287,455,1
584,287,71,1
585,287,777,1
586,287,584,1
587,287,727,1
588,287,171,1
589,287,322,1
590,287,301,1
591,287,240,1
592,287,616,1
593,290,320,1
594,290,374,1
595,291,302,1
596,293,778,1
597,293,529,1
598,293,727,1
599,293,198,1
600,293,616,1
601,293,399,1
602,293,809,1
603,295,729,1
604,295,160,1
605,295,124,1
606,300,192,1
607,300,782,1
608,300,286,1
609,300,204,1
610,300,319,1
611,300,725,1
612,301,777,1
613,301,675,1
614,301,34,1
615,301,83,1
616,301,318,1
617,301,514,1
618,301,603,1
619,301,350,1
620,301,712,1
621,301,399,1
622,301,745,1
623,301,348,1
624,301,95,1
625,301,275,1
626,301,640,1
627,301,346,1
628,301,616,1
629,301,728,1
630,301,566,1
631,301,232,1
632,301,29,1
633,301,270,1
634,301,313,1
635,301,729,1
636,301,561,1
637,301,702,1
638,301,59,1
639,301,242,1
640,301,200,1
641,301,641,1
642,301,718,1
643,301,185,1
644,301,495,1
645,301,460,1
646,301,210,1
647,301,755,1
648,301,37,1
649,301,268,1
650,301,544,1
651,301,142,1
652,301,333,1
653,301,86,1
654,302,291,1
655,302,610,1
656,308,713,1
657,309,577,1
658,309,59,1
659,309,403,1
660,311,436,1
661,311,44,1
662,313,268,1
663,313,603,1
664,313,287,1
665,313,761,1
666,313,606,1
667,314,318,1
668,317,745,1
669,318,350,1
670,318,80,1
671,319,98,1
672,319,353,1
673,319,300,1
674,322,455,1
675,322,287,1
676,322,43,1
677,322,627,1
678,322,727,1
679,327,399,1
680,328,441,1
681,329,586,1
682,329,782,1
683,329,228,1
684,329,567,1
685,329,464,1
686,329,191,1
687,329,728,1
688,329,816,1
689,330,603,1
690,330,290,1
691,330,777,1
692,330,139,1
693,333,497,1
694,333,566,1
695,333,564,1
696,333,99,1
697,333,50,1
698,333,254,1
699,333,61,1
700,333,188,1
701,333,729,1
702,333,371,1
703,333,431,1
704,333,552,1
705,333,268,1
706,333,484,1
707,333,273,1
708,333,96,1
709,333,730,1
710,333,443,1
711,333,478,1
712,333,337,1
713,333,12,1
714,333,804,1
715,333,373,1
716,333,222,1
717,333,192,1
718,333,755,1
719,333,625,1
720,333,380,1
721,333,750,1
722,333,795,1
723,333,739,1
724,333,458,1
725,333,154,1
726,333,510,1
727,333,266,1
728,333,504,1
729,333,416,1
