,TF,Target,Label
0,2,121,1
1,2,88,1
2,2,669,1
3,2,629,1
4,2,828,1
5,2,557,1
6,2,1080,1
7,5,286,1
8,5,1108,1
9,5,289,1
10,5,35,1
11,5,378,1
12,5,749,1
13,5,567,1
14,5,1038,1
15,5,306,1
16,5,1088,1
17,5,408,1
18,5,548,1
19,5,631,1
20,6,483,1
21,7,410,1
22,7,486,1
23,7,483,1
24,8,483,1
25,9,77,1
26,9,450,1
27,12,526,1
28,12,416,1
29,12,1009,1
30,12,670,1
31,12,785,1
32,12,574,1
33,12,744,1
34,12,177,1
35,12,749,1
36,12,528,1
37,12,112,1
38,12,665,1
39,12,717,1
40,12,1048,1
41,12,1092,1
42,12,567,1
43,12,171,1
44,12,316,1
45,13,417,1
46,13,661,1
47,13,781,1
48,13,110,1
49,15,653,1
50,15,1106,1
51,15,706,1
52,15,21,1
53,16,1075,1
54,16,88,1
55,19,695,1
56,19,872,1
57,19,650,1
58,19,297,1
59,19,384,1
60,19,173,1
61,19,1103,1
62,19,88,1
63,19,172,1
64,19,1071,1
65,20,44,1
66,20,939,1
67,20,441,1
68,20,151,1
69,20,543,1
70,21,605,1
71,21,15,1
72,21,426,1
73,24,201,1
74,25,627,1
75,25,1009,1
76,25,100,1
77,25,279,1
78,25,965,1
79,25,630,1
80,28,465,1
81,28,329,1
82,28,703,1
83,28,541,1
84,28,35,1
85,28,889,1
86,28,389,1
87,28,105,1
88,31,959,1
89,31,281,1
90,31,634,1
91,31,543,1
92,35,1114,1
93,35,1115,1
94,37,1031,1
95,37,416,1
96,40,91,1
97,40,510,1
98,40,1028,1
99,40,1092,1
100,40,19,1
101,40,384,1
102,40,95,1
103,40,642,1
104,43,1092,1
105,48,91,1
106,48,703,1
107,48,309,1
108,48,498,1
109,49,560,1
110,49,841,1
111,49,409,1
112,50,249,1
113,50,1115,1
114,50,623,1
115,50,410,1
116,50,483,1
117,55,151,1
118,58,781,1
119,58,348,1
120,58,828,1
121,58,1092,1
122,59,415,1
123,59,858,1
124,59,403,1
125,59,1024,1
126,59,694,1
127,59,423,1
128,59,741,1
129,59,431,1
130,59,663,1
131,59,828,1
132,59,1033,1
133,59,439,1
134,59,1082,1
135,59,1034,1
136,59,1038,1
137,59,990,1
138,59,80,1
139,59,932,1
140,59,417,1
141,59,1080,1
142,59,653,1
143,59,643,1
144,59,625,1
145,59,897,1
146,59,1113,1
147,59,847,1
148,59,1036,1
149,59,463,1
150,59,428,1
151,59,732,1
152,59,1115,1
153,59,282,1
154,59,975,1
155,59,441,1
156,59,889,1
157,59,841,1
158,59,1107,1
159,59,88,1
160,59,228,1
161,59,849,1
162,59,277,1
163,59,384,1
164,61,817,1
165,61,423,1
166,61,448,1
167,61,112,1
168,61,204,1
169,63,585,1
170,70,279,1
171,70,231,1
172,70,965,1
173,70,899,1
174,70,177,1
175,70,780,1
176,70,552,1
177,70,627,1
178,70,785,1
179,70,278,1
180,70,730,1
181,72,732,1
182,74,852,1
183,74,732,1
184,74,695,1
185,74,698,1
186,74,47,1
187,74,1046,1
188,74,461,1
189,74,883,1
190,74,628,1
191,74,403,1
192,74,426,1
193,74,88,1
194,74,44,1
195,74,846,1
196,74,673,1
197,74,912,1
198,74,723,1
199,74,560,1
200,74,602,1
201,74,875,1
202,74,858,1
203,74,621,1
204,74,225,1
205,74,471,1
206,74,450,1
207,74,110,1
208,74,926,1
209,74,185,1
210,74,509,1
211,74,769,1
212,74,659,1
213,74,931,1
214,74,594,1
215,74,773,1
216,74,290,1
217,74,49,1
218,74,727,1
219,74,106,1
220,74,939,1
221,74,19,1
222,74,1006,1
223,74,250,1
224,74,670,1
225,74,505,1
226,74,29,1
227,74,987,1
228,74,205,1
229,74,352,1
230,74,534,1
231,74,511,1
232,74,63,1
233,74,629,1
234,74,126,1
235,74,81,1
236,74,253,1
237,74,295,1
238,74,1085,1
239,75,806,1
240,75,42,1
241,75,946,1
242,79,881,1
243,79,522,1
244,80,547,1
245,80,806,1
246,80,163,1
247,80,401,1
248,80,11,1
249,80,961,1
250,80,1070,1
251,80,111,1
252,80,675,1
253,80,897,1
254,80,482,1
255,80,74,1
256,80,556,1
257,80,408,1
258,80,558,1
259,80,988,1
260,80,1117,1
261,80,215,1
262,80,1021,1
263,80,161,1
264,80,1090,1
265,80,1086,1
266,80,998,1
267,80,975,1
268,80,727,1
269,80,450,1
270,80,1009,1
271,80,59,1
272,80,574,1
273,80,1106,1
274,80,71,1
275,80,382,1
276,80,264,1
277,80,1098,1
278,80,672,1
279,80,128,1
280,80,957,1
281,80,1027,1
282,81,1106,1
283,81,448,1
284,81,840,1
285,81,56,1
286,81,1030,1
287,81,828,1
288,81,607,1
289,81,681,1
290,82,44,1
291,82,1070,1
292,82,441,1
293,82,71,1
294,82,859,1
295,82,434,1
296,82,605,1
297,82,862,1
298,82,1006,1
299,82,669,1
300,82,148,1
301,82,421,1
302,82,957,1
303,82,276,1
304,82,687,1
305,82,72,1
306,82,606,1
307,82,1085,1
308,82,1099,1
309,82,586,1
310,83,59,1
311,89,781,1
312,89,1092,1
313,89,497,1
314,89,703,1
315,91,1056,1
316,91,1069,1
317,91,471,1
318,91,872,1
319,91,1052,1
320,91,858,1
321,91,926,1
322,91,847,1
323,91,665,1
324,91,250,1
325,91,1109,1
326,91,703,1
327,91,106,1
328,91,318,1
329,91,695,1
330,91,431,1
331,91,513,1
332,91,297,1
333,91,753,1
334,91,512,1
335,91,30,1
336,91,490,1
337,91,668,1
338,91,514,1
339,91,141,1
340,91,759,1
341,91,355,1
342,95,19,1
343,95,40,1
344,95,695,1
345,95,510,1
346,99,431,1
347,99,222,1
348,99,250,1
349,99,1017,1
350,99,605,1
351,99,21,1
352,99,1106,1
353,99,150,1
354,100,899,1
355,100,70,1
356,100,780,1
357,100,965,1
358,100,627,1
359,100,279,1
360,100,445,1
361,100,730,1
362,100,729,1
363,100,231,1
364,100,1009,1
365,100,785,1
366,100,278,1
367,100,456,1
368,100,337,1
369,100,791,1
370,102,435,1
371,102,82,1
372,102,1000,1
373,102,74,1
374,102,543,1
375,102,594,1
376,104,253,1
377,104,128,1
378,104,511,1
379,104,793,1
380,104,810,1
381,104,409,1
382,104,110,1
383,104,331,1
384,104,71,1
385,104,419,1
386,104,875,1
387,104,730,1
388,105,206,1
389,105,1024,1
390,105,1115,1
391,105,661,1
392,105,549,1
393,105,28,1
394,106,593,1
395,106,717,1
396,106,356,1
397,106,826,1
398,106,582,1
399,106,733,1
400,106,1052,1
401,106,765,1
402,106,42,1
403,106,439,1
404,106,605,1
405,106,262,1
406,106,495,1
407,106,113,1
408,106,897,1
409,106,329,1
410,106,54,1
411,106,970,1
412,106,275,1
413,106,583,1
414,106,412,1
415,106,480,1
416,106,91,1
417,109,684,1
418,109,345,1
419,109,785,1
420,109,1048,1
421,110,729,1
422,110,1050,1
423,110,13,1
424,110,417,1
425,112,61,1
426,112,1071,1
427,112,260,1
428,112,506,1
429,112,441,1
430,112,450,1
431,112,12,1
432,119,64,1
433,119,489,1
434,120,1092,1
435,121,187,1
436,121,88,1
437,121,669,1
438,121,2,1
439,121,222,1
440,121,1115,1
441,121,909,1
442,121,1080,1
443,124,761,1
444,126,146,1
445,141,753,1
446,141,431,1
447,141,173,1
448,141,88,1
449,143,99,1
450,143,1012,1
451,144,932,1
452,144,412,1
453,144,395,1
454,144,858,1
455,144,617,1
456,144,849,1
457,144,504,1
458,144,282,1
459,144,150,1
460,144,59,1
461,144,428,1
462,144,1033,1
463,146,496,1
464,146,1015,1
465,146,393,1
466,146,223,1
467,147,561,1
468,148,463,1
469,148,412,1
470,148,722,1
471,149,82,1
472,149,151,1
473,150,284,1
474,150,617,1
475,150,605,1
476,150,625,1
477,150,849,1
478,150,1033,1
479,150,497,1
480,150,282,1
481,150,297,1
482,150,599,1
483,150,558,1
484,150,99,1
485,150,889,1
486,150,858,1
487,150,428,1
488,151,491,1
489,151,1085,1
490,151,434,1
491,151,991,1
492,151,55,1
493,151,515,1
494,151,946,1
495,151,792,1
496,151,300,1
497,151,840,1
498,151,871,1
499,151,754,1
500,151,678,1
501,151,134,1
502,151,106,1
503,151,600,1
504,151,736,1
505,151,71,1
506,151,1118,1
507,151,168,1
508,151,120,1
509,151,1072,1
510,151,166,1
511,151,511,1
512,151,922,1
513,151,315,1
514,151,42,1
515,151,371,1
516,151,1006,1
517,151,774,1
518,151,149,1
519,151,365,1
520,151,1023,1
521,151,578,1
522,151,132,1
523,151,479,1
524,151,327,1
525,153,250,1
526,153,1106,1
527,153,917,1
528,153,455,1
529,153,634,1
530,153,283,1
531,153,340,1
532,159,1092,1
533,159,781,1
534,160,602,1
535,161,1018,1
536,161,657,1
537,161,670,1
538,161,546,1
539,163,262,1
540,164,1050,1
541,165,732,1
542,171,12,1
543,172,846,1
544,172,441,1
545,172,384,1
546,173,872,1
547,173,40,1
548,173,19,1
549,173,95,1
550,173,1092,1
551,173,436,1
552,173,91,1
553,173,510,1
554,173,384,1
555,173,828,1
556,173,417,1
557,177,279,1
558,177,12,1
559,177,944,1
560,177,785,1
561,177,728,1
562,177,309,1
563,177,811,1
564,177,337,1
565,177,828,1
566,177,231,1
567,177,445,1
568,177,899,1
569,177,974,1
570,178,356,1
571,179,951,1
572,179,456,1
573,183,313,1
574,185,1109,1
575,188,409,1
576,188,151,1
577,189,204,1
578,189,282,1
579,190,309,1
580,191,788,1
581,191,187,1
582,191,548,1
583,191,435,1
584,191,546,1
585,191,927,1
586,191,557,1
587,191,841,1
588,191,309,1
589,191,921,1
590,191,641,1
591,191,218,1
592,194,455,1
593,196,697,1
594,197,753,1
595,197,246,1
596,198,643,1
597,198,901,1
598,198,840,1
599,198,426,1
600,198,828,1
601,198,629,1
602,198,448,1
603,198,486,1
604,200,847,1
605,200,105,1
606,200,59,1
607,200,206,1
608,204,61,1
609,206,579,1
610,206,131,1
611,206,714,1
612,206,894,1
613,206,16,1
614,206,148,1
615,206,150,1
616,206,91,1
617,206,946,1
618,206,56,1
619,215,926,1
620,215,250,1
621,215,141,1
622,216,193,1
623,216,1081,1
624,217,895,1
625,218,817,1
626,218,546,1
627,218,703,1
628,218,357,1
629,218,191,1
630,218,181,1
631,218,484,1
632,218,557,1
633,218,841,1
634,218,682,1
635,218,415,1
636,218,577,1
637,222,1114,1
638,222,250,1
639,222,649,1
640,222,372,1
641,222,705,1
642,222,683,1
643,222,82,1
644,222,81,1
645,222,137,1
646,222,858,1
647,222,233,1
648,222,80,1
649,222,543,1
650,222,102,1
651,222,1006,1
652,222,180,1
653,222,1113,1
654,222,15,1
655,222,643,1
656,222,609,1
657,222,894,1
658,222,900,1
659,222,562,1
660,222,740,1
661,222,135,1
662,222,440,1
663,222,901,1
664,222,785,1
665,222,12,1
666,222,819,1
667,222,289,1
668,222,546,1
669,222,632,1
670,222,0,1
671,222,746,1
672,222,634,1
673,222,943,1
674,222,948,1
675,222,776,1
676,222,604,1
677,222,309,1
678,222,704,1
679,222,416,1
680,222,1090,1
681,222,201,1
682,222,26,1
683,222,949,1
684,222,97,1
685,222,125,1
686,222,1008,1
687,222,694,1
688,222,258,1
689,222,650,1
690,222,441,1
691,222,42,1
692,222,479,1
693,222,993,1
694,222,496,1
695,222,69,1
696,222,278,1
697,222,426,1
698,222,678,1
699,222,1027,1
700,222,155,1
701,222,141,1
702,222,1095,1
703,222,911,1
704,222,301,1
705,222,22,1
706,222,633,1
707,222,710,1
708,222,65,1
709,222,788,1
710,222,113,1
711,222,945,1
712,222,230,1
713,222,1080,1
714,222,217,1
715,222,644,1
716,222,132,1
717,222,103,1
718,222,815,1
719,222,488,1
720,222,628,1
721,222,383,1
722,222,722,1
723,222,225,1
724,222,456,1
725,222,471,1
726,222,232,1
727,222,422,1
728,223,146,1
729,227,187,1
730,227,665,1
731,231,627,1
732,231,944,1
733,231,309,1
734,231,177,1
735,231,70,1
736,231,254,1
737,231,705,1
738,239,558,1
739,240,998,1
740,240,483,1
741,242,546,1
742,243,297,1
743,243,1090,1
744,243,498,1
745,243,602,1
746,244,732,1
747,244,1115,1
748,244,461,1
749,244,1101,1
750,246,957,1
751,246,704,1
752,246,222,1
753,246,900,1
754,246,753,1
755,249,266,1
756,249,554,1
757,249,419,1
758,249,206,1
759,250,1085,1
760,250,601,1
761,250,673,1
762,250,1106,1
763,250,448,1
764,250,983,1
765,250,1078,1
766,250,340,1
767,250,897,1
768,250,1036,1
769,250,141,1
770,250,384,1
771,250,99,1
772,250,428,1
773,250,403,1
774,250,515,1
775,250,849,1
776,250,91,1
777,250,1113,1
778,250,483,1
779,250,420,1
780,250,153,1
781,253,1094,1
782,260,81,1
783,260,515,1
784,260,828,1
785,260,607,1
786,260,423,1
787,260,448,1
788,260,840,1
789,261,564,1
790,261,785,1
791,261,574,1
792,261,567,1
793,261,971,1
794,262,694,1
795,262,163,1
796,262,141,1
797,262,299,1
798,262,283,1
799,262,389,1
800,262,12,1
801,264,1048,1
802,264,324,1
803,264,962,1
804,264,618,1
805,264,55,1
806,264,355,1
807,264,536,1
808,264,1025,1
809,264,827,1
810,264,935,1
811,264,674,1
812,264,497,1
813,264,623,1
814,264,443,1
815,264,673,1
816,264,115,1
817,264,1069,1
818,264,1112,1
819,264,1050,1
820,264,822,1
821,264,556,1
822,264,1106,1
823,264,303,1
824,264,1034,1
825,264,315,1
826,264,105,1
827,264,823,1
828,264,265,1
829,266,431,1
830,266,200,1
831,266,372,1
832,266,249,1
833,266,91,1
834,266,59,1
835,267,703,1
836,271,1103,1
837,275,993,1
838,275,91,1
839,275,100,1
840,275,445,1
841,277,59,1
842,278,100,1
843,278,729,1
844,278,498,1
845,278,110,1
846,278,445,1
847,278,177,1
848,278,791,1
849,278,627,1
850,278,188,1
851,278,728,1
852,279,275,1
853,279,432,1
854,279,627,1
855,279,70,1
856,279,965,1
857,279,1009,1
858,279,993,1
859,279,498,1
860,279,25,1
861,279,730,1
862,279,1031,1
863,279,728,1
864,282,497,1
865,282,99,1
866,282,12,1
867,282,144,1
868,282,625,1
869,282,412,1
870,282,847,1
871,282,428,1
872,282,150,1
873,282,889,1
874,282,106,1
875,282,849,1
876,282,504,1
877,282,420,1
878,282,617,1
879,283,153,1
880,283,262,1
881,283,340,1
882,283,917,1
883,289,998,1
884,289,546,1
885,289,222,1
886,289,21,1
887,289,479,1
888,289,1115,1
889,289,403,1
890,289,121,1
891,289,669,1
892,289,819,1
893,289,455,1
894,289,703,1
895,297,91,1
896,297,144,1
897,297,389,1
898,297,150,1
899,297,673,1
900,297,643,1
901,297,329,1
902,297,1050,1
903,297,19,1
904,297,847,1
905,297,1033,1
906,297,872,1
907,297,817,1
908,297,897,1
909,297,266,1
910,297,463,1
911,297,282,1
912,297,1085,1
913,297,384,1
914,297,497,1
915,297,849,1
916,297,417,1
917,297,841,1
918,297,625,1
919,297,932,1
920,297,695,1
921,297,441,1
922,297,858,1
923,297,431,1
924,297,828,1
925,297,1101,1
926,297,200,1
927,297,439,1
928,297,504,1
929,299,262,1
930,299,817,1
931,299,978,1
932,299,694,1
933,300,90,1
934,309,641,1
935,309,190,1
936,309,535,1
937,309,191,1
938,309,650,1
939,309,897,1
940,309,48,1
941,311,1092,1
942,316,828,1
943,316,537,1
944,316,12,1
945,318,91,1
946,323,498,1
947,323,550,1
948,324,1050,1
949,327,151,1
950,329,817,1
951,329,297,1
952,329,541,1
953,329,889,1
954,329,847,1
955,335,901,1
956,335,966,1
957,335,267,1
958,335,570,1
959,335,99,1
960,335,434,1
961,335,491,1
962,335,767,1
963,335,858,1
964,335,653,1
965,335,233,1
966,335,240,1
967,335,887,1
968,335,371,1
969,335,828,1
970,335,1025,1
971,335,238,1
972,337,728,1
973,337,730,1
974,337,729,1
975,337,791,1
976,337,899,1
977,337,785,1
978,337,552,1
979,337,177,1
980,337,627,1
981,337,100,1
982,339,1082,1
983,339,1096,1
984,339,781,1
985,339,426,1
986,340,1106,1
987,340,945,1
988,340,153,1
989,340,828,1
990,340,283,1
991,340,781,1
992,340,483,1
993,342,760,1
994,343,1090,1
995,343,279,1
996,343,498,1
997,345,154,1
998,352,610,1
999,352,645,1
1000,356,1052,1
1001,356,629,1
1002,356,535,1
1003,356,590,1
1004,356,1048,1
1005,356,12,1
1006,361,1050,1
1007,361,541,1
1008,363,546,1
1009,368,781,1
1010,368,694,1
1011,370,874,1
1012,371,414,1
1013,371,1092,1
1014,372,700,1
1015,372,266,1
1016,372,753,1
1017,372,495,1
1018,372,74,1
1019,372,1106,1
1020,373,998,1
1021,373,1092,1
1022,373,781,1
1023,373,1050,1
1024,376,112,1
1025,376,461,1
1026,376,1092,1
1027,376,602,1
1028,376,44,1
1029,376,939,1
1030,376,653,1
1031,377,1098,1
1032,377,91,1
1033,377,511,1
1034,377,215,1
1035,377,770,1
1036,377,285,1
1037,377,1099,1
1038,377,50,1
1039,377,690,1
1040,377,138,1
1041,377,506,1
1042,377,988,1
1043,377,393,1
1044,377,489,1
1045,377,435,1
1046,377,449,1
1047,377,43,1
1048,377,479,1
1049,377,746,1
1050,377,681,1
1051,377,39,1
1052,377,41,1
1053,377,213,1
1054,379,1052,1
1055,382,703,1
1056,382,865,1
1057,382,774,1
1058,382,72,1
1059,383,781,1
1060,383,1092,1
1061,384,634,1
1062,384,650,1
1063,384,794,1
1064,384,781,1
1065,384,1071,1
1066,384,673,1
1067,384,579,1
1068,384,95,1
1069,384,510,1
1070,384,841,1
1071,384,998,1
1072,384,172,1
1073,384,250,1
1074,384,842,1
1075,384,297,1
1076,384,439,1
1077,384,1069,1
1078,384,831,1
1079,384,661,1
1080,384,495,1
1081,384,222,1
1082,384,1092,1
1083,384,828,1
1084,388,561,1
1085,389,329,1
1086,389,28,1
1087,389,978,1
1088,389,817,1
1089,389,262,1
1090,389,297,1
1091,389,694,1
1092,392,541,1
1093,393,496,1
1094,393,446,1
1095,397,1092,1
1096,397,1050,1
1097,397,222,1
1098,397,828,1
1099,398,828,1
1100,398,781,1
1101,401,216,1
1102,401,1082,1
1103,401,504,1
1104,401,634,1
1105,401,422,1
1106,401,990,1
1107,401,343,1
1108,401,1006,1
1109,401,531,1
1110,401,945,1
