,TF,Target,Label
0,2,680,1
1,2,614,1
2,8,72,1
3,15,186,1
4,15,110,1
5,15,263,1
6,15,389,1
7,15,95,1
8,15,232,1
9,15,590,1
10,15,347,1
11,15,609,1
12,15,372,1
13,15,48,1
14,15,31,1
15,15,565,1
16,15,640,1
17,15,512,1
18,15,213,1
19,15,667,1
20,15,185,1
21,15,153,1
22,15,343,1
23,15,490,1
24,15,82,1
25,21,137,1
26,21,210,1
27,21,283,1
28,21,502,1
29,21,586,1
30,21,597,1
31,21,611,1
32,21,203,1
33,21,127,1
34,21,592,1
35,21,683,1
36,21,54,1
37,21,408,1
38,21,364,1
39,21,247,1
40,21,664,1
41,21,477,1
42,21,458,1
43,21,335,1
44,21,144,1
45,21,509,1
46,21,97,1
47,21,356,1
48,21,18,1
49,21,453,1
50,21,696,1
51,21,271,1
52,21,619,1
53,21,454,1
54,21,41,1
55,29,545,1
56,29,48,1
57,33,330,1
58,33,92,1
59,33,359,1
60,33,197,1
61,33,477,1
62,33,602,1
63,33,680,1
64,33,115,1
65,37,477,1
66,37,325,1
67,39,70,1
68,39,92,1
69,39,395,1
70,39,459,1
71,39,210,1
72,42,92,1
73,48,293,1
74,48,524,1
75,48,395,1
76,48,199,1
77,48,15,1
78,48,92,1
79,48,609,1
80,48,482,1
81,48,106,1
82,48,203,1
83,48,100,1
84,48,21,1
85,48,29,1
86,57,210,1
87,57,448,1
88,57,668,1
89,57,516,1
90,59,268,1
91,59,68,1
92,59,612,1
93,59,699,1
94,59,242,1
95,59,22,1
96,59,686,1
97,59,129,1
98,59,415,1
99,59,91,1
100,59,683,1
101,59,20,1
102,59,391,1
103,59,664,1
104,59,561,1
105,59,482,1
106,59,153,1
107,59,286,1
108,59,657,1
109,59,34,1
110,59,103,1
111,59,700,1
112,59,30,1
113,59,43,1
114,59,202,1
115,59,178,1
116,59,308,1
117,62,31,1
118,62,533,1
119,70,11,1
120,72,511,1
121,72,8,1
122,72,395,1
123,79,99,1
124,79,39,1
125,79,21,1
126,79,652,1
127,79,575,1
128,79,242,1
129,79,100,1
130,79,484,1
131,79,199,1
132,79,439,1
133,82,220,1
134,82,213,1
135,82,326,1
136,82,490,1
137,82,620,1
138,82,258,1
139,82,347,1
140,82,185,1
141,82,293,1
142,82,667,1
143,82,263,1
144,82,285,1
145,82,31,1
146,82,590,1
147,82,232,1
148,82,343,1
149,82,253,1
150,82,389,1
151,82,548,1
152,82,48,1
153,82,675,1
154,82,157,1
155,92,255,1
156,92,685,1
157,92,201,1
158,92,599,1
159,92,97,1
160,92,271,1
161,92,454,1
162,92,364,1
163,92,257,1
164,92,93,1
165,92,461,1
166,92,36,1
167,92,640,1
168,92,352,1
169,92,664,1
170,92,282,1
171,92,611,1
172,92,420,1
173,92,458,1
174,100,123,1
175,100,691,1
176,100,561,1
177,100,360,1
178,100,586,1
179,100,416,1
180,100,556,1
181,100,414,1
182,100,92,1
183,100,463,1
184,100,459,1
185,100,199,1
186,100,531,1
187,100,522,1
188,100,310,1
189,100,484,1
190,100,128,1
191,100,503,1
192,100,174,1
193,100,401,1
194,100,99,1
195,100,22,1
196,100,259,1
197,100,21,1
198,100,2,1
199,100,367,1
200,100,652,1
201,100,189,1
202,100,311,1
203,106,502,1
204,106,566,1
205,109,564,1
206,109,118,1
207,118,10,1
208,118,556,1
209,118,351,1
210,118,618,1
211,118,680,1
212,119,299,1
213,119,528,1
214,119,342,1
215,119,576,1
216,125,363,1
217,126,458,1
218,139,158,1
219,139,48,1
220,139,226,1
221,139,406,1
222,139,352,1
223,145,425,1
224,149,458,1
225,149,352,1
226,149,514,1
227,149,224,1
228,173,214,1
229,173,392,1
230,173,409,1
231,173,674,1
232,173,284,1
233,173,207,1
234,173,240,1
235,173,287,1
236,173,333,1
237,173,345,1
238,173,141,1
239,173,416,1
240,173,61,1
241,173,581,1
242,173,30,1
243,173,268,1
244,173,458,1
245,173,511,1
246,173,39,1
247,173,330,1
248,173,209,1
249,173,443,1
250,173,125,1
251,173,48,1
252,177,32,1
253,177,390,1
254,177,528,1
255,177,342,1
256,190,548,1
257,190,185,1
258,199,640,1
259,199,203,1
260,199,352,1
261,199,404,1
262,201,334,1
263,201,404,1
264,201,458,1
265,201,255,1
266,201,7,1
267,201,592,1
268,201,92,1
269,201,609,1
270,201,176,1
271,201,189,1
272,201,563,1
273,201,459,1
274,201,686,1
275,201,111,1
276,201,50,1
277,201,93,1
278,201,397,1
279,201,271,1
280,201,590,1
281,201,57,1
282,201,361,1
283,201,164,1
284,201,435,1
285,201,84,1
286,201,13,1
287,201,219,1
288,201,444,1
289,203,518,1
290,203,255,1
291,209,59,1
292,209,352,1
293,209,668,1
294,211,275,1
295,224,62,1
296,224,149,1
297,224,692,1
298,224,48,1
299,224,275,1
300,224,311,1
301,224,602,1
302,224,100,1
303,230,675,1
304,230,347,1
305,230,620,1
306,230,31,1
307,230,155,1
308,230,15,1
309,230,343,1
310,230,609,1
311,230,698,1
312,230,48,1
313,230,372,1
314,230,232,1
315,230,95,1
316,230,640,1
317,230,667,1
318,230,185,1
319,230,482,1
320,230,220,1
321,230,82,1
322,230,258,1
323,244,359,1
324,244,48,1
325,245,274,1
326,245,117,1
327,245,95,1
328,245,353,1
329,245,555,1
330,245,483,1
331,245,153,1
332,245,26,1
333,247,199,1
334,259,404,1
335,259,93,1
336,259,33,1
337,271,696,1
338,271,463,1
339,273,395,1
340,273,500,1
341,275,497,1
342,275,602,1
343,282,149,1
344,282,224,1
345,282,21,1
346,282,246,1
347,284,532,1
348,284,456,1
349,287,325,1
350,293,82,1
351,293,110,1
352,293,471,1
353,293,667,1
354,293,232,1
355,293,326,1
356,293,565,1
357,293,640,1
358,293,220,1
359,293,285,1
360,293,389,1
361,293,185,1
362,293,482,1
363,293,372,1
364,293,609,1
365,293,157,1
366,293,31,1
367,293,687,1
368,293,95,1
369,293,153,1
370,293,155,1
371,293,698,1
372,299,605,1
373,300,481,1
374,300,426,1
375,301,95,1
376,325,330,1
377,325,352,1
378,325,137,1
379,325,589,1
380,352,470,1
