,TF,Target,Label
0,3,274,1
1,3,404,1
2,27,536,1
3,27,251,1
4,27,64,1
5,27,293,1
6,28,206,1
7,28,480,1
8,28,497,1
9,28,299,1
10,29,410,1
11,29,261,1
12,29,318,1
13,29,283,1
14,29,67,1
15,29,587,1
16,34,292,1
17,42,204,1
18,42,345,1
19,42,361,1
20,42,500,1
21,42,323,1
22,42,350,1
23,42,74,1
24,42,30,1
25,50,475,1
26,64,232,1
27,64,200,1
28,64,251,1
29,64,79,1
30,64,293,1
31,67,82,1
32,67,486,1
33,67,78,1
34,67,29,1
35,67,81,1
36,73,216,1
37,78,39,1
38,78,607,1
39,78,187,1
40,78,327,1
41,78,167,1
42,78,572,1
43,78,107,1
44,78,427,1
45,78,559,1
46,78,358,1
47,78,84,1
48,78,331,1
49,78,306,1
50,79,363,1
51,79,631,1
52,79,208,1
53,81,67,1
54,81,292,1
55,82,323,1
56,82,263,1
57,82,161,1
58,82,471,1
59,82,485,1
60,82,561,1
61,82,199,1
62,82,204,1
63,99,606,1
64,134,404,1
65,134,210,1
66,137,131,1
67,137,67,1
68,137,298,1
69,137,577,1
70,137,274,1
71,137,222,1
72,137,464,1
73,137,217,1
74,137,364,1
75,137,98,1
76,137,496,1
77,137,3,1
78,137,279,1
79,137,369,1
80,137,345,1
81,137,545,1
82,137,497,1
83,137,472,1
84,137,589,1
85,137,482,1
86,137,164,1
87,137,508,1
88,137,417,1
89,137,215,1
90,137,315,1
91,137,525,1
92,137,235,1
93,137,430,1
94,137,376,1
95,137,512,1
96,137,168,1
97,137,83,1
98,137,480,1
99,137,256,1
100,137,421,1
101,137,154,1
102,137,210,1
103,137,484,1
104,137,347,1
105,137,301,1
106,137,463,1
107,137,442,1
108,137,297,1
109,137,121,1
110,157,283,1
111,161,534,1
112,161,180,1
113,177,486,1
114,177,363,1
115,189,299,1
116,189,411,1
117,198,367,1
118,198,199,1
119,199,198,1
120,199,74,1
121,199,190,1
122,199,553,1
123,204,350,1
124,204,182,1
125,204,266,1
126,204,561,1
127,204,297,1
128,204,500,1
129,204,240,1
130,204,478,1
131,204,610,1
132,204,497,1
133,204,554,1
134,204,279,1
135,204,102,1
136,204,53,1
137,204,21,1
138,204,273,1
139,206,28,1
140,209,523,1
141,209,74,1
142,209,557,1
143,224,590,1
144,226,33,1
145,226,375,1
146,226,351,1
147,226,28,1
148,251,293,1
149,251,64,1
150,251,27,1
151,251,232,1
152,263,564,1
153,263,546,1
154,263,453,1
155,263,219,1
156,263,575,1
157,263,146,1
158,263,331,1
159,263,20,1
160,263,362,1
161,263,270,1
162,263,140,1
163,263,72,1
164,263,503,1
165,263,177,1
166,263,6,1
167,263,283,1
168,263,69,1
169,263,315,1
170,263,441,1
171,263,622,1
172,270,196,1
173,276,278,1
174,276,232,1
175,276,253,1
176,276,216,1
177,276,73,1
178,276,152,1
179,276,486,1
180,276,161,1
181,276,50,1
182,283,363,1
183,283,224,1
184,283,367,1
185,283,445,1
186,283,141,1
187,283,422,1
188,283,508,1
189,283,315,1
190,283,357,1
191,283,472,1
192,283,78,1
193,283,84,1
194,283,590,1
195,292,81,1
196,292,67,1
197,293,354,1
198,293,109,1
199,293,609,1
200,293,200,1
201,293,268,1
202,293,183,1
203,293,64,1
204,299,182,1
205,299,561,1
206,299,28,1
207,299,204,1
208,299,500,1
209,299,102,1
210,299,554,1
211,299,240,1
212,323,497,1
213,323,299,1
214,323,279,1
215,323,273,1
216,323,53,1
217,323,204,1
218,323,561,1
219,323,21,1
220,323,478,1
221,323,82,1
222,323,102,1
223,323,246,1
224,323,345,1
225,323,407,1
226,323,42,1
227,323,399,1
228,333,466,1
