,TF,Target,Label
0,31,516,1
1,31,340,1
2,31,566,1
3,31,489,1
4,31,485,1
5,31,452,1
6,51,116,1
7,58,87,1
8,58,472,1
9,58,382,1
10,58,190,1
11,58,171,1
12,58,542,1
13,58,168,1
14,58,517,1
15,58,606,1
16,58,353,1
17,58,402,1
18,58,316,1
19,58,202,1
20,74,243,1
21,74,617,1
22,74,17,1
23,74,144,1
24,74,307,1
25,74,518,1
26,74,36,1
27,91,472,1
28,116,51,1
29,116,327,1
30,116,80,1
31,116,658,1
32,116,369,1
33,116,3,1
34,116,246,1
35,116,621,1
36,116,299,1
37,116,22,1
38,123,414,1
39,123,407,1
40,171,382,1
41,194,690,1
42,194,570,1
43,194,63,1
44,194,64,1
45,194,30,1
46,194,477,1
47,222,400,1
48,236,243,1
49,236,328,1
50,238,74,1
51,238,171,1
52,243,653,1
53,243,236,1
54,244,452,1
55,244,340,1
56,244,516,1
57,244,445,1
58,244,31,1
59,244,520,1
60,245,296,1
61,245,573,1
62,245,459,1
63,245,374,1
64,245,128,1
65,345,171,1
66,382,259,1
67,382,238,1
68,382,81,1
69,382,400,1
70,382,287,1
71,409,428,1
72,409,647,1
73,409,114,1
74,409,57,1
75,409,478,1
76,409,272,1
77,409,625,1
78,409,569,1
79,409,436,1
80,409,223,1
81,409,41,1
82,409,253,1
83,409,606,1
84,409,643,1
85,431,58,1
86,442,540,1
87,442,542,1
88,442,639,1
89,516,171,1
90,516,520,1
91,516,485,1
92,516,445,1
93,516,566,1
94,517,654,1
95,518,280,1
96,518,286,1
97,524,654,1
98,524,9,1
99,540,296,1
100,540,442,1
101,540,91,1
102,540,434,1
103,540,272,1
104,583,171,1
105,594,679,1
106,594,396,1
107,604,199,1
108,604,131,1
109,604,504,1
110,604,38,1
111,604,247,1
112,604,340,1
113,604,538,1
114,604,436,1
115,604,348,1
116,604,17,1
117,604,102,1
118,604,653,1
119,604,114,1
120,604,70,1
121,604,77,1
122,604,174,1
123,604,204,1
124,604,353,1
125,604,400,1
126,604,13,1
127,604,238,1
128,604,532,1
129,604,217,1
130,604,416,1
131,606,400,1
132,639,542,1
133,639,442,1
134,653,604,1
135,653,243,1
136,654,296,1
137,654,459,1
138,654,374,1
139,654,138,1
140,654,168,1
141,654,222,1
142,654,9,1
143,654,150,1
144,671,685,1
145,671,541,1
146,671,232,1
147,671,328,1
148,671,365,1
149,671,373,1
150,671,643,1
151,671,300,1
152,671,183,1
153,671,511,1
154,671,403,1
155,671,65,1
156,671,611,1
157,671,422,1
158,671,566,1
159,671,268,1
160,671,470,1
161,671,30,1
162,671,623,1
163,671,529,1
164,671,323,1
165,671,656,1
166,671,325,1
167,671,532,1
168,671,13,1
169,686,149,1
170,31,11,0
171,31,346,0
172,31,377,0
173,31,313,0
174,31,441,0
175,31,453,0
176,51,253,0
177,58,558,0
178,58,94,0
179,58,253,0
180,58,637,0
181,58,109,0
182,58,86,0
183,58,465,0
184,58,390,0
185,58,522,0
186,58,539,0
187,58,237,0
188,58,418,0
189,58,393,0
190,74,157,0
191,74,292,0
192,74,210,0
193,74,531,0
194,74,57,0
195,74,637,0
196,74,83,0
197,91,73,0
198,116,265,0
199,116,28,0
200,116,21,0
201,116,515,0
202,116,188,0
203,116,392,0
204,116,674,0
205,116,379,0
206,116,208,0
207,116,664,0
208,123,394,0
209,123,459,0
210,171,625,0
211,194,177,0
212,194,569,0
213,194,152,0
214,194,453,0
215,194,241,0
216,194,286,0
217,222,169,0
218,236,457,0
219,236,664,0
220,238,483,0
221,238,655,0
222,243,245,0
223,243,271,0
224,244,333,0
225,244,621,0
226,244,681,0
227,244,274,0
228,244,304,0
229,244,191,0
230,245,303,0
231,245,79,0
232,245,163,0
233,245,474,0
234,245,635,0
235,345,298,0
236,382,306,0
237,382,250,0
238,382,332,0
239,382,411,0
240,382,496,0
241,409,229,0
242,409,241,0
243,409,261,0
244,409,658,0
245,409,242,0
246,409,523,0
247,409,551,0
248,409,19,0
249,409,520,0
250,409,38,0
251,409,573,0
252,409,375,0
253,409,471,0
254,409,17,0
255,431,84,0
256,442,363,0
257,442,86,0
258,442,439,0
259,516,598,0
260,516,167,0
261,516,587,0
262,516,205,0
263,516,366,0
264,517,541,0
265,518,457,0
266,518,343,0
267,524,265,0
268,524,429,0
269,540,561,0
270,540,533,0
271,540,691,0
272,540,310,0
273,540,613,0
274,583,52,0
275,594,38,0
276,594,166,0
277,604,342,0
278,604,334,0
279,604,28,0
280,604,122,0
281,604,457,0
282,604,646,0
283,604,351,0
284,604,173,0
285,604,583,0
286,604,473,0
287,604,84,0
288,604,271,0
289,604,303,0
290,604,471,0
291,604,596,0
292,604,484,0
293,604,133,0
294,604,483,0
295,604,242,0
296,604,533,0
297,604,568,0
298,604,613,0
299,604,16,0
300,604,688,0
301,606,115,0
302,639,15,0
303,639,197,0
304,653,451,0
305,653,458,0
306,654,508,0
307,654,541,0
308,654,282,0
309,654,185,0
310,654,685,0
311,654,11,0
312,654,14,0
313,654,300,0
314,671,245,0
315,671,357,0
316,671,577,0
317,671,550,0
318,671,635,0
319,671,594,0
320,671,322,0
321,671,143,0
322,671,418,0
323,671,6,0
324,671,106,0
325,671,8,0
326,671,315,0
327,671,196,0
328,671,369,0
329,671,498,0
330,671,457,0
331,671,156,0
332,671,659,0
333,671,204,0
334,671,91,0
335,671,47,0
336,671,61,0
337,671,391,0
338,671,514,0
339,686,597,0
