,TF,Target,Label
0,0,36,1
1,5,381,1
2,5,86,1
3,5,460,1
4,5,586,1
5,5,454,1
6,5,646,1
7,5,195,1
8,5,346,1
9,5,923,1
10,5,1258,1
11,5,874,1
12,5,1245,1
13,5,130,1
14,5,1189,1
15,5,277,1
16,5,1215,1
17,6,475,1
18,7,93,1
19,18,620,1
20,20,1007,1
21,30,1331,1
22,30,32,1
23,30,660,1
24,30,1344,1
25,30,1374,1
26,30,942,1
27,30,1343,1
28,30,539,1
29,30,205,1
30,30,176,1
31,30,34,1
32,30,892,1
33,30,354,1
34,32,409,1
35,32,892,1
36,32,1374,1
37,32,1302,1
38,32,739,1
39,32,588,1
40,32,58,1
41,32,1249,1
42,32,19,1
43,32,202,1
44,32,36,1
45,32,271,1
46,32,432,1
47,32,228,1
48,32,1180,1
49,32,1331,1
50,32,1341,1
51,32,612,1
52,32,765,1
53,32,902,1
54,32,948,1
55,33,1245,1
56,33,392,1
57,33,489,1
58,33,1364,1
59,33,982,1
60,33,405,1
61,33,454,1
62,33,879,1
63,33,108,1
64,33,848,1
65,33,931,1
66,33,1044,1
67,33,874,1
68,33,1288,1
69,33,487,1
70,33,1189,1
71,34,606,1
72,34,931,1
73,34,759,1
74,34,305,1
75,34,1303,1
76,34,1249,1
77,34,202,1
78,34,33,1
79,34,75,1
80,34,489,1
81,34,539,1
82,34,1344,1
83,34,72,1
84,34,1216,1
85,34,228,1
86,34,30,1
87,34,765,1
88,34,660,1
89,34,879,1
90,34,1180,1
91,34,609,1
92,34,942,1
93,34,397,1
94,36,17,1
95,36,1319,1
96,36,1344,1
97,36,1202,1
98,36,588,1
99,36,432,1
100,36,612,1
101,36,509,1
102,36,751,1
103,36,329,1
104,36,1241,1
105,36,1118,1
106,36,8,1
107,36,28,1
108,36,823,1
109,36,1249,1
110,44,340,1
111,44,202,1
112,44,1131,1
113,44,254,1
114,44,183,1
115,44,539,1
116,44,660,1
117,46,1202,1
118,46,1000,1
119,46,1295,1
120,46,360,1
121,46,351,1
122,46,333,1
123,49,56,1
124,49,675,1
125,49,1189,1
126,49,47,1
127,49,1027,1
128,49,423,1
129,49,874,1
130,49,1364,1
131,49,101,1
132,49,1155,1
133,49,467,1
134,49,1182,1
135,49,882,1
136,49,691,1
137,53,1119,1
138,55,784,1
139,55,79,1
140,55,224,1
141,55,657,1
142,56,675,1
143,56,1364,1
144,56,454,1
145,56,330,1
146,56,467,1
147,56,1023,1
148,56,874,1
149,56,1182,1
150,56,1027,1
151,59,1215,1
152,59,66,1
153,59,1004,1
154,59,5,1
155,59,500,1
156,59,1140,1
157,59,1149,1
158,59,826,1
159,66,1004,1
160,66,59,1
161,66,357,1
162,66,381,1
163,66,586,1
164,66,130,1
