,TF,Target,Label
0,0,310,1
1,1,451,1
2,1,639,1
3,1,823,1
4,1,306,1
5,1,549,1
6,1,424,1
7,1,454,1
8,1,178,1
9,1,589,1
10,1,620,1
11,1,311,1
12,1,668,1
13,1,442,1
14,1,406,1
15,1,427,1
16,1,174,1
17,2,320,1
18,4,669,1
19,4,446,1
20,4,745,1
21,4,186,1
22,4,441,1
23,4,769,1
24,4,728,1
25,4,666,1
26,4,500,1
27,4,476,1
28,4,736,1
29,4,94,1
30,4,363,1
31,4,864,1
32,4,515,1
33,4,548,1
34,4,300,1
35,4,523,1
36,4,370,1
37,4,24,1
38,4,105,1
39,5,470,1
40,14,623,1
41,14,176,1
42,14,583,1
43,14,551,1
44,14,75,1
45,14,433,1
46,14,591,1
47,14,672,1
48,14,534,1
49,14,161,1
50,15,672,1
51,15,280,1
52,15,600,1
53,15,161,1
54,15,277,1
55,15,945,1
56,15,916,1
57,15,858,1
58,20,501,1
59,20,551,1
60,22,40,1
61,22,590,1
62,22,575,1
63,22,813,1
64,22,228,1
65,22,939,1
66,22,623,1
67,22,249,1
68,22,627,1
69,22,758,1
70,22,394,1
71,22,833,1
72,24,662,1
73,24,128,1
74,24,94,1
75,24,382,1
76,24,64,1
77,24,864,1
78,24,363,1
79,24,220,1
80,24,496,1
81,24,105,1
82,24,41,1
83,24,515,1
84,24,96,1
85,24,476,1
86,24,387,1
87,24,481,1
88,24,655,1
89,24,186,1
90,24,370,1
91,24,681,1
92,24,590,1
93,26,89,1
94,26,29,1
95,26,368,1
96,26,709,1
97,26,197,1
98,26,892,1
99,26,858,1
100,26,556,1
101,26,804,1
102,26,331,1
103,26,706,1
104,26,888,1
105,28,255,1
106,28,471,1
107,28,435,1
108,28,755,1
109,28,854,1
110,36,292,1
111,36,267,1
112,37,543,1
113,37,892,1
114,38,250,1
115,38,573,1
116,38,936,1
117,38,635,1
118,38,515,1
119,38,213,1
120,38,386,1
121,38,620,1
122,38,61,1
123,38,259,1
124,38,64,1
125,38,30,1
126,38,441,1
127,38,864,1
128,38,233,1
129,38,687,1
130,38,41,1
131,38,319,1
132,38,222,1
133,38,367,1
134,39,856,1
135,39,452,1
136,39,534,1
137,39,406,1
138,39,736,1
139,39,556,1
140,39,85,1
141,39,518,1
142,39,673,1
143,39,546,1
144,39,819,1
145,39,365,1
146,39,815,1
147,39,522,1
148,39,595,1
149,39,161,1
150,39,156,1
151,39,528,1
152,39,470,1
153,39,319,1
154,39,766,1
155,40,662,1
156,40,813,1
157,40,687,1
158,40,41,1
159,40,362,1
160,40,222,1
161,40,499,1
162,40,426,1
163,40,736,1
164,40,156,1
165,40,676,1
166,40,307,1
167,40,833,1
168,40,365,1
169,40,64,1
170,40,493,1
171,40,22,1
172,40,233,1
173,40,378,1
174,41,916,1
175,41,728,1
176,41,786,1
177,41,128,1
178,41,788,1
179,41,64,1
180,41,112,1
181,41,475,1
182,41,465,1
183,41,363,1
184,41,414,1
185,41,482,1
186,41,186,1
187,41,375,1
188,41,216,1
189,41,936,1
190,41,946,1
191,41,220,1
192,41,610,1
193,41,233,1
194,41,700,1
195,41,681,1
196,41,662,1
197,41,515,1
198,41,445,1
199,41,226,1
200,41,815,1
201,41,105,1
202,41,211,1
203,41,406,1
204,41,669,1
205,41,801,1
206,41,137,1
207,41,745,1
208,41,300,1
209,41,902,1
210,41,481,1
211,41,144,1
212,41,40,1
213,41,276,1
214,41,864,1
215,41,24,1
216,41,546,1
217,41,792,1
218,41,470,1
219,41,339,1
220,41,115,1
221,41,319,1
222,41,538,1
223,41,901,1
224,41,486,1
225,41,641,1
226,41,212,1
227,41,850,1
228,41,874,1
229,43,493,1
230,43,154,1
231,43,341,1
232,43,882,1
233,43,736,1
234,43,575,1
235,43,239,1
236,43,828,1
237,43,174,1
238,43,29,1
239,43,401,1
240,43,247,1
241,43,332,1
242,43,649,1
243,43,876,1
244,43,330,1
245,43,635,1
246,43,378,1
247,43,819,1
248,43,117,1
249,43,188,1
250,43,212,1
251,43,833,1
252,43,245,1
253,43,181,1
254,43,919,1
255,43,512,1
256,43,769,1
257,43,650,1
258,47,779,1
259,47,374,1
260,47,377,1
261,47,8,1
262,47,567,1
263,47,638,1
264,47,654,1
265,47,896,1
266,48,789,1
267,54,144,1
268,54,515,1
269,54,858,1
270,54,211,1
271,54,520,1
272,54,317,1
273,54,22,1
274,54,41,1
275,54,441,1
276,54,394,1
277,54,864,1
278,54,470,1
279,54,250,1
280,54,581,1
281,54,115,1
282,54,662,1
283,54,465,1
284,54,64,1
285,57,144,1
286,57,475,1
287,57,96,1
288,57,499,1
289,57,788,1
290,57,520,1
291,57,874,1
292,57,641,1
293,57,41,1
294,57,64,1
295,57,54,1
296,57,147,1
297,57,901,1
298,64,4,1
299,64,901,1
300,64,916,1
301,64,387,1
302,64,250,1
303,64,103,1
304,64,641,1
305,64,838,1
306,64,481,1
307,64,67,1
308,64,736,1
309,64,456,1
310,64,222,1
311,64,226,1
312,64,523,1
313,64,211,1
314,64,445,1
315,64,484,1
316,64,538,1
317,64,328,1
318,64,386,1
319,64,669,1
320,64,190,1
321,64,850,1
322,64,728,1
323,64,105,1
324,64,128,1
325,64,788,1
326,64,463,1
327,64,343,1
328,64,41,1
329,64,242,1
330,64,195,1
331,64,296,1
332,64,515,1
333,64,854,1
334,64,687,1
335,64,482,1
336,64,700,1
337,64,117,1
338,64,319,1
339,64,220,1
340,64,642,1
341,64,786,1
342,64,936,1
343,64,634,1
344,64,476,1
345,64,38,1
346,66,486,1
347,67,499,1
348,67,8,1
349,67,477,1
350,67,624,1
351,67,319,1
352,67,374,1
353,67,333,1
354,67,575,1
355,67,896,1
356,67,700,1
357,67,112,1
358,67,104,1
359,67,441,1
360,67,11,1
361,67,377,1
362,67,481,1
363,67,567,1
364,67,751,1
365,67,638,1
366,67,445,1
367,67,78,1
368,67,64,1
369,67,779,1
370,67,297,1
371,67,604,1
372,69,749,1
373,71,249,1
374,72,606,1
375,72,172,1
376,72,620,1
377,72,311,1
378,72,29,1
379,72,424,1
380,72,329,1
381,72,635,1
382,72,876,1
383,72,828,1
384,72,769,1
385,72,330,1
386,72,819,1
387,72,9,1
388,72,30,1
389,72,512,1
390,72,823,1
391,72,649,1
392,72,784,1
393,72,401,1
394,72,506,1
395,72,240,1
396,72,593,1
397,72,613,1
398,72,679,1
399,72,265,1
400,72,152,1
401,72,549,1
402,72,174,1
403,74,393,1
404,74,691,1
405,74,556,1
406,80,312,1
407,85,784,1
408,85,470,1
409,85,639,1
410,85,39,1
411,85,834,1
412,85,876,1
413,85,311,1
414,85,916,1
415,85,106,1
416,85,265,1
417,85,406,1
418,85,141,1
419,85,728,1
420,85,741,1
421,85,362,1
422,85,906,1
423,85,850,1
424,85,515,1
425,85,365,1
426,85,819,1
427,85,766,1
428,85,838,1
429,85,905,1
430,85,64,1
431,85,320,1
432,85,368,1
433,85,932,1
434,85,319,1
435,85,254,1
436,85,538,1
437,87,176,1
438,87,911,1
439,87,560,1
440,87,470,1
441,87,192,1
442,87,195,1
443,87,510,1
444,87,161,1
