,TF,Target,Label
0,3,439,1
1,3,632,1
2,3,402,1
3,3,615,1
4,4,0,1
5,4,202,1
6,4,247,1
7,4,144,1
8,4,325,1
9,4,482,1
10,4,549,1
11,4,169,1
12,10,496,1
13,10,462,1
14,10,800,1
15,10,218,1
16,12,247,1
17,12,202,1
18,12,412,1
19,12,114,1
20,12,174,1
21,12,290,1
22,12,332,1
23,12,168,1
24,12,153,1
25,12,48,1
26,12,540,1
27,12,141,1
28,12,762,1
29,12,696,1
30,12,468,1
31,12,27,1
32,12,358,1
33,14,669,1
34,14,230,1
35,14,522,1
36,14,312,1
37,14,384,1
38,14,694,1
39,14,285,1
40,14,661,1
41,14,585,1
42,14,520,1
43,14,210,1
44,14,224,1
45,14,565,1
46,14,36,1
47,14,239,1
48,14,236,1
49,14,613,1
50,14,447,1
51,14,434,1
52,14,629,1
53,14,123,1
54,14,761,1
55,14,368,1
56,14,420,1
57,14,687,1
58,14,446,1
59,14,346,1
60,14,39,1
61,15,795,1
62,15,562,1
63,15,350,1
64,15,12,1
65,15,696,1
66,15,158,1
67,15,760,1
68,15,247,1
69,15,546,1
70,15,713,1
71,15,319,1
72,15,120,1
73,19,468,1
74,19,412,1
75,25,810,1
76,25,488,1
77,25,342,1
78,25,276,1
79,25,154,1
80,25,275,1
81,25,791,1
82,25,576,1
83,27,332,1
84,27,373,1
85,27,48,1
86,27,12,1
87,27,540,1
88,27,114,1
89,27,174,1
90,27,704,1
91,27,642,1
92,27,116,1
93,27,141,1
94,27,56,1
95,30,153,1
96,30,762,1
97,30,56,1
98,30,229,1
99,30,373,1
100,30,770,1
101,30,290,1
102,34,626,1
103,34,625,1
104,34,576,1
105,34,246,1
106,34,647,1
107,34,85,1
108,34,557,1
109,34,105,1
110,34,729,1
111,34,726,1
112,34,570,1
113,34,755,1
114,34,586,1
115,34,468,1
116,34,120,1
117,34,450,1
118,34,412,1
119,34,336,1
120,34,175,1
121,34,79,1
122,34,615,1
123,34,178,1
124,34,502,1
125,34,730,1
126,34,600,1
127,34,342,1
128,34,740,1
129,34,451,1
130,41,801,1
131,41,124,1
132,42,327,1
133,42,53,1
134,42,248,1
135,42,361,1
136,42,657,1
137,42,722,1
138,43,112,1
139,43,153,1
140,43,586,1
141,43,402,1
142,43,529,1
143,43,139,1
144,43,775,1
145,43,48,1
146,43,336,1
147,43,642,1
148,43,557,1
149,43,120,1
150,43,770,1
151,43,85,1
152,43,493,1
153,43,56,1
154,43,600,1
155,43,468,1
156,43,451,1
157,43,760,1
158,43,730,1
159,43,439,1
160,43,514,1
161,43,158,1
162,43,105,1
163,48,570,1
164,48,597,1
165,48,307,1
166,48,340,1
167,48,508,1
168,48,615,1
169,48,600,1
170,48,703,1
171,48,116,1
172,48,709,1
173,48,772,1
174,48,12,1
175,48,332,1
176,48,111,1
177,48,776,1
178,48,240,1
179,48,67,1
180,48,696,1
181,48,775,1
182,48,632,1
183,48,96,1
184,48,139,1
185,48,105,1
186,48,399,1
187,48,373,1
188,48,78,1
189,48,354,1
190,48,514,1
191,48,306,1
192,48,483,1
193,48,120,1
194,48,153,1
195,48,56,1
196,48,540,1
197,48,642,1
198,48,30,1
199,48,524,1
200,48,764,1
201,48,435,1
202,56,628,1
203,56,332,1
204,56,764,1
205,56,703,1
206,56,483,1
207,56,12,1
208,56,386,1
209,56,546,1
210,56,196,1
211,56,704,1
212,56,114,1
213,56,661,1
214,56,290,1
215,56,772,1
216,56,576,1
217,56,615,1
218,56,358,1
219,56,139,1
220,56,632,1
221,56,540,1
222,56,116,1
223,56,105,1
224,56,124,1
225,56,696,1
226,56,709,1
227,56,78,1
228,56,340,1
229,56,597,1
230,56,446,1
231,56,48,1
232,56,96,1
233,56,739,1
234,56,775,1
235,56,306,1
236,56,570,1
237,56,158,1
238,56,642,1
239,56,776,1
240,56,587,1
241,58,106,1
242,64,468,1
243,64,426,1
244,64,386,1
245,65,241,1
246,67,522,1
247,67,689,1
248,67,772,1
249,67,770,1
250,67,764,1
251,67,332,1
252,67,762,1
253,67,141,1
254,67,358,1
255,67,48,1
256,67,739,1
257,67,642,1
258,67,546,1
259,67,264,1
260,67,661,1
261,67,703,1
262,67,576,1
263,67,511,1
264,78,546,1
265,78,240,1
266,78,716,1
267,78,779,1
268,78,642,1
269,78,124,1
270,78,373,1
271,78,358,1
272,78,576,1
273,78,290,1
274,78,508,1
275,78,511,1
276,78,756,1
277,78,141,1
278,78,703,1
279,78,770,1
280,78,661,1
281,78,157,1
282,79,261,1
283,79,775,1
284,79,342,1
285,79,647,1
286,79,570,1
287,79,468,1
288,79,600,1
289,79,25,1
290,79,43,1
291,79,615,1
292,79,105,1
293,79,578,1
294,80,717,1
295,89,811,1
296,89,379,1
297,89,283,1
298,89,698,1
299,89,248,1
300,91,565,1
301,91,468,1
302,91,120,1
303,91,276,1
304,96,12,1
305,96,141,1
306,96,435,1
307,96,48,1
308,96,373,1
309,96,762,1
310,96,686,1
311,96,696,1
312,96,704,1
313,96,56,1
314,96,597,1
315,96,114,1
316,96,153,1
317,96,661,1
318,96,290,1
319,101,276,1
320,103,623,1
321,103,717,1
322,111,337,1
323,111,153,1
324,111,671,1
325,111,43,1
326,111,196,1
327,111,546,1
328,111,340,1
329,111,607,1
330,111,762,1
331,111,534,1
332,111,290,1
333,111,247,1
334,111,48,1
335,111,488,1
336,111,295,1
337,112,468,1
338,112,546,1
339,112,56,1
340,112,636,1
341,112,615,1
342,112,48,1
343,112,373,1
344,112,153,1
345,112,770,1
346,112,686,1
347,112,582,1
348,112,742,1
349,112,642,1
350,112,554,1
351,112,816,1
352,112,646,1
353,114,359,1
354,114,358,1
355,114,116,1
356,114,12,1
357,114,96,1
358,114,332,1
359,114,628,1
360,114,762,1
361,114,642,1
362,114,704,1
363,114,373,1
364,114,290,1
365,114,399,1
366,114,686,1
367,114,540,1
368,116,48,1
369,116,468,1
370,116,300,1
371,116,12,1
372,116,141,1
373,116,628,1
374,116,597,1
375,116,27,1
376,116,686,1
377,116,373,1
378,116,56,1
379,116,153,1
380,116,642,1
381,116,399,1
382,116,290,1
383,120,458,1
384,120,654,1
385,120,615,1
386,120,124,1
387,120,696,1
388,120,450,1
389,120,4,1
390,120,332,1
391,120,600,1
392,120,760,1
393,120,276,1
394,120,468,1
395,120,623,1
396,120,378,1
397,120,290,1
398,120,524,1
399,120,546,1
400,120,383,1
401,120,635,1
402,120,158,1
403,120,105,1
404,120,412,1
405,120,328,1
406,120,812,1
407,120,770,1
408,120,570,1
409,120,399,1
410,120,310,1
411,120,139,1
412,120,762,1
413,120,528,1
414,120,56,1
415,120,248,1
416,120,208,1
417,120,247,1
418,120,185,1
419,121,657,1
420,121,248,1
421,121,361,1
422,126,555,1
423,132,306,1
424,132,689,1
425,134,120,1
426,134,625,1
427,139,48,1
428,139,290,1
429,139,505,1
430,139,120,1
431,139,709,1
432,139,570,1
433,139,342,1
434,139,399,1
435,139,307,1
436,139,704,1
437,139,153,1
438,139,373,1
439,139,332,1
440,139,686,1
441,139,114,1
442,139,105,1
443,139,600,1
444,139,524,1
445,139,163,1
446,140,339,1
447,140,509,1
448,140,169,1
449,141,546,1
450,141,704,1
451,141,756,1
452,141,67,1
453,141,306,1
454,141,508,1
455,141,56,1
456,141,689,1
457,141,48,1
458,141,174,1
459,141,264,1
460,141,290,1
461,141,114,1
462,141,78,1
463,141,739,1
464,141,772,1
465,141,124,1
466,141,576,1
467,141,540,1
468,141,762,1
469,141,12,1
470,144,482,1
471,144,560,1
472,144,4,1
473,144,267,1
474,144,247,1
475,146,340,1
476,146,510,1
477,148,103,1
478,148,731,1
479,149,379,1
480,149,158,1
481,149,315,1
482,149,632,1
483,151,534,1
484,151,378,1
485,151,389,1
486,151,453,1
487,152,449,1
488,152,303,1
489,152,542,1
490,153,435,1
491,153,628,1
492,153,27,1
493,153,373,1
494,153,290,1
495,153,632,1
496,153,56,1
497,153,770,1
498,153,689,1
499,153,483,1
500,153,426,1
501,153,163,1
502,153,307,1
503,153,111,1
504,153,642,1
505,153,78,1
506,153,508,1
507,153,120,1
508,153,514,1
509,153,587,1
510,153,96,1
511,153,48,1
512,153,739,1
513,153,709,1
514,153,332,1
515,153,597,1
516,153,399,1
517,153,540,1
518,153,703,1
519,153,576,1
520,153,524,1
521,153,570,1
522,153,139,1
523,153,174,1
524,153,196,1
525,153,764,1
526,153,112,1
527,153,776,1
528,153,775,1
529,154,316,1
530,154,488,1
531,154,275,1
532,154,695,1
533,154,810,1
534,154,468,1
535,154,276,1
536,154,576,1
537,156,468,1
538,158,350,1
539,158,600,1
