,TF,Target,Label
0,0,1234,1
1,3,1072,1
2,3,854,1
3,3,405,1
4,3,96,1
5,3,1265,1
6,3,76,1
7,3,1044,1
8,3,1271,1
9,4,576,1
10,4,581,1
11,4,1329,1
12,4,417,1
13,9,217,1
14,9,754,1
15,9,96,1
16,9,581,1
17,9,520,1
18,9,45,1
19,9,205,1
20,9,287,1
21,9,1457,1
22,9,1140,1
23,9,1133,1
24,9,669,1
25,9,254,1
26,9,1152,1
27,9,1329,1
28,9,961,1
29,9,1305,1
30,12,1181,1
31,12,1034,1
32,12,794,1
33,12,955,1
34,12,131,1
35,12,1577,1
36,12,1473,1
37,26,687,1
38,26,1204,1
39,26,641,1
40,26,1329,1
41,26,1310,1
42,26,73,1
43,26,1116,1
44,26,1093,1
45,26,1382,1
46,26,381,1
47,26,624,1
48,26,1036,1
49,26,18,1
50,26,1140,1
51,26,563,1
52,26,717,1
53,26,294,1
54,26,730,1
55,26,1380,1
56,26,1605,1
57,26,173,1
58,26,1589,1
59,26,1470,1
60,26,754,1
61,26,1280,1
62,26,581,1
63,26,547,1
64,26,161,1
65,27,381,1
66,27,164,1
67,27,817,1
68,27,348,1
69,27,692,1
70,27,392,1
71,27,611,1
72,27,76,1
73,27,563,1
74,27,687,1
75,27,1093,1
76,27,665,1
77,27,1329,1
78,27,191,1
79,27,313,1
80,27,631,1
81,27,480,1
82,27,834,1
83,27,1261,1
84,27,1571,1
85,27,355,1
86,27,995,1
87,27,389,1
88,27,972,1
89,27,581,1
90,27,648,1
91,27,1086,1
92,27,729,1
93,27,641,1
94,33,142,1
95,33,299,1
96,33,502,1
97,33,1065,1
98,33,1156,1
99,33,1571,1
100,33,1513,1
101,33,131,1
102,45,669,1
103,45,96,1
104,45,754,1
105,45,649,1
106,45,9,1
107,45,1418,1
108,45,520,1
109,45,417,1
110,45,413,1
111,45,1078,1
112,45,1334,1
113,45,421,1
114,45,1329,1
115,45,463,1
116,45,1240,1
117,45,976,1
118,45,1140,1
119,45,1457,1
120,45,1261,1
121,45,287,1
122,49,754,1
123,52,1058,1
124,52,1258,1
125,52,75,1
126,52,210,1
127,54,1228,1
128,54,193,1
129,54,1513,1
130,54,1261,1
131,56,631,1
132,56,817,1
133,56,493,1
134,56,27,1
135,56,74,1
136,56,1230,1
137,56,1181,1
138,60,1501,1
139,61,1234,1
140,61,1326,1
141,61,1278,1
142,61,859,1
143,61,428,1
144,61,169,1
145,61,182,1
146,61,360,1
147,61,1088,1
148,61,911,1
149,61,961,1
150,61,1261,1
151,61,665,1
152,63,754,1
153,73,1310,1
154,73,886,1
155,73,474,1
156,73,581,1
157,73,1473,1
158,73,1565,1
159,73,579,1
160,73,528,1
161,73,754,1
162,73,834,1
163,73,329,1
164,73,1006,1
165,73,89,1
166,73,1506,1
167,73,1165,1
168,73,1034,1
169,73,1470,1
170,73,381,1
171,73,278,1
172,73,687,1
173,73,82,1
174,73,1028,1
175,73,1125,1
176,73,26,1
177,73,1206,1
178,73,1458,1
179,73,140,1
180,73,775,1
181,73,517,1
182,73,1329,1
183,73,1111,1
184,73,845,1
185,73,702,1
186,73,1332,1
187,73,1517,1
188,73,494,1
189,73,741,1
190,73,164,1
191,73,836,1
192,73,554,1
193,73,1303,1
194,73,1280,1
195,73,493,1
196,73,805,1
197,73,1261,1
198,75,1458,1
199,75,381,1
200,75,834,1
201,75,52,1
202,75,278,1
203,75,967,1
204,75,383,1
205,75,233,1
206,76,89,1
207,76,3,1
208,76,530,1
209,76,164,1
210,76,729,1
211,76,360,1
212,76,1280,1
213,76,817,1
214,76,377,1
215,76,1088,1
216,76,528,1
217,76,1159,1
218,76,886,1
219,76,1473,1
220,76,517,1
221,76,96,1
222,76,1261,1
223,76,665,1
224,76,1319,1
225,76,412,1
226,76,329,1
227,76,1513,1
228,76,804,1
229,76,250,1
230,76,1477,1
231,76,1332,1
232,79,269,1
233,79,658,1
234,79,1445,1
235,79,429,1
236,79,1389,1
237,79,493,1
238,79,1552,1
239,82,578,1
240,82,665,1
241,82,172,1
242,82,300,1
243,82,1617,1
244,82,1261,1
245,82,1458,1
246,82,1449,1
247,82,1473,1
248,82,384,1
249,82,108,1
250,82,775,1
251,82,1533,1
252,82,1157,1
253,82,579,1
254,82,1395,1
255,82,1577,1
256,82,817,1
257,89,1204,1
258,89,1157,1
259,89,173,1
260,89,294,1
261,89,1183,1
262,89,1518,1
263,89,300,1
264,89,775,1
265,89,650,1
266,89,1261,1
267,89,379,1
268,89,579,1
269,89,815,1
270,89,467,1
271,89,445,1
272,89,360,1
273,89,874,1
274,89,704,1
275,89,729,1
276,89,1244,1
277,89,1517,1
278,89,1565,1
279,89,475,1
280,89,730,1
281,93,1503,1
282,93,406,1
283,93,1151,1
284,93,351,1
285,104,1174,1
286,104,1340,1
