,TF,Target,Label
0,13,343,1
1,13,97,1
2,13,421,1
3,13,120,1
4,13,229,1
5,13,431,1
6,14,455,1
7,14,642,1
8,14,164,1
9,14,103,1
10,14,83,1
11,14,1,1
12,14,141,1
13,14,207,1
14,14,142,1
15,14,402,1
16,14,451,1
17,14,334,1
18,14,297,1
19,14,320,1
20,14,647,1
21,14,325,1
22,14,689,1
23,14,257,1
24,14,479,1
25,14,458,1
26,14,95,1
27,14,62,1
28,14,497,1
29,14,153,1
30,15,690,1
31,17,606,1
32,37,353,1
33,37,558,1
34,37,82,1
35,37,40,1
36,37,385,1
37,37,451,1
38,37,83,1
39,37,141,1
40,37,325,1
41,37,574,1
42,37,457,1
43,37,511,1
44,37,518,1
45,37,624,1
46,37,334,1
47,37,402,1
48,37,142,1
49,37,305,1
50,37,689,1
51,37,95,1
52,37,455,1
53,37,209,1
54,37,681,1
55,37,642,1
56,37,647,1
57,37,497,1
58,37,164,1
59,37,479,1
60,37,14,1
61,37,548,1
62,37,167,1
63,38,320,1
64,38,600,1
65,38,195,1
66,38,74,1
67,39,512,1
68,39,606,1
69,48,62,1
70,48,115,1
71,48,227,1
72,48,527,1
73,48,578,1
74,48,54,1
75,48,221,1
76,48,405,1
77,48,207,1
78,48,164,1
79,48,70,1
80,48,642,1
81,49,215,1
82,49,569,1
83,49,296,1
84,49,455,1
85,49,682,1
86,49,590,1
87,49,361,1
88,49,83,1
89,50,412,1
90,50,374,1
91,50,245,1
92,57,571,1
93,57,690,1
94,57,315,1
95,57,639,1
96,57,173,1
97,57,177,1
98,57,615,1
99,57,472,1
100,57,534,1
101,57,38,1
102,65,431,1
103,65,97,1
104,65,374,1
105,65,296,1
106,65,28,1
107,65,69,1
108,65,245,1
109,65,229,1
110,69,343,1
111,69,65,1
112,69,296,1
113,69,249,1
114,71,588,1
115,71,421,1
116,71,411,1
117,74,57,1
118,74,571,1
119,74,600,1
120,74,38,1
121,74,615,1
122,80,658,1
123,80,558,1
124,91,390,1
125,97,571,1
126,97,646,1
127,97,286,1
128,97,244,1
129,97,654,1
130,97,249,1
131,97,431,1
132,97,614,1
133,97,320,1
134,97,245,1
135,97,13,1
136,99,323,1
137,99,251,1
138,101,509,1
139,101,251,1
140,101,323,1
141,101,121,1
142,101,425,1
143,101,483,1
144,111,391,1
145,111,291,1
146,111,493,1
147,111,101,1
148,112,535,1
149,112,606,1
150,117,650,1
151,119,412,1
152,127,683,1
153,127,67,1
154,134,81,1
155,134,336,1
156,134,606,1
157,139,600,1
158,139,344,1
159,139,445,1
160,139,320,1
161,140,353,1
162,140,385,1
163,141,497,1
164,141,70,1
165,141,11,1
166,141,257,1
167,141,171,1
168,141,689,1
169,141,479,1
170,141,213,1
171,141,504,1
172,141,443,1
173,141,511,1
174,141,95,1
175,141,37,1
176,141,681,1
177,141,368,1
178,141,305,1
179,141,636,1
180,141,1,1
181,141,558,1
182,141,234,1
183,141,103,1
184,141,455,1
185,141,642,1
186,141,548,1
187,146,535,1
188,146,606,1
189,152,457,1
190,154,352,1
191,154,576,1
192,154,614,1
193,154,224,1
194,154,410,1
195,159,412,1
196,160,431,1
197,160,412,1
198,160,245,1
199,160,588,1
200,177,512,1
201,177,57,1
202,177,173,1
203,177,320,1
204,177,519,1
205,177,579,1
206,177,687,1
207,177,315,1
208,178,659,1
209,178,638,1
210,178,227,1
211,178,606,1
212,188,229,1
213,190,366,1
214,190,498,1
215,195,38,1
216,195,639,1
217,195,512,1
218,213,497,1
219,213,353,1
220,213,558,1
221,213,504,1
222,213,579,1
223,213,257,1
224,213,142,1
225,213,207,1
226,213,325,1
227,213,103,1
228,213,385,1
229,213,153,1
230,213,141,1
231,213,402,1
232,213,164,1
233,213,608,1
234,213,37,1
235,213,149,1
236,213,451,1
237,213,511,1
238,213,11,1
239,213,368,1
240,213,443,1
241,213,647,1
242,226,629,1
243,226,330,1
244,226,510,1
245,229,13,1
246,229,1,1
247,229,188,1
248,229,198,1
249,231,171,1
250,231,574,1
251,231,642,1
252,231,1,1
253,231,518,1
254,231,644,1
255,231,353,1
256,238,587,1
257,238,569,1
258,238,690,1
259,239,24,1
260,239,665,1
261,239,591,1
262,239,215,1
263,239,171,1
264,239,699,1
265,239,336,1
266,239,42,1
267,244,361,1
268,244,323,1
269,244,374,1
270,244,421,1
271,249,69,1
272,249,97,1
273,251,384,1
274,251,178,1
275,251,343,1
276,251,291,1
277,251,317,1
278,251,588,1
279,251,99,1
280,251,521,1
281,267,493,1
282,267,606,1
283,291,509,1
284,291,251,1
285,291,671,1
286,291,493,1
287,296,479,1
288,296,65,1
289,296,654,1
290,296,69,1
291,305,84,1
292,305,95,1
293,305,153,1
294,305,171,1
295,305,642,1
296,305,62,1
297,305,164,1
298,305,103,1
299,305,207,1
300,305,14,1
301,305,11,1
302,305,37,1
303,305,608,1
304,305,83,1
305,305,558,1
306,305,681,1
307,305,458,1
308,305,257,1
309,305,353,1
310,305,504,1
311,305,647,1
312,305,574,1
313,305,142,1
314,305,81,1
315,307,297,1
316,307,658,1
317,307,209,1
318,307,497,1
319,307,358,1
320,317,244,1
321,317,251,1
322,320,297,1
323,320,195,1
324,320,629,1
325,320,519,1
326,320,14,1
327,320,57,1
328,320,497,1
329,320,534,1
330,320,511,1
331,320,226,1
332,320,687,1
333,320,690,1
334,320,615,1
335,320,74,1
336,320,483,1
337,320,177,1
338,320,97,1
339,320,402,1
340,320,315,1
341,320,38,1
342,323,99,1
343,323,384,1
344,323,101,1
345,330,510,1
346,343,431,1
347,343,13,1
348,343,69,1
349,344,139,1
350,354,543,1
351,354,359,1
352,354,8,1
353,354,442,1
354,358,564,1
355,358,658,1
356,358,479,1
357,358,579,1
358,359,354,1
359,359,416,1
360,359,8,1
361,361,571,1
362,361,694,1
363,361,244,1
364,361,493,1
365,361,595,1
366,362,455,1
367,362,353,1
368,362,405,1
369,362,518,1
370,362,516,1
371,362,70,1
372,362,171,1
373,362,1,1
374,365,374,1
375,366,190,1
376,374,424,1
377,374,588,1
378,374,365,1
379,374,660,1
380,374,28,1
381,374,654,1
382,374,421,1
383,374,286,1
384,374,65,1
385,374,571,1
386,374,50,1
387,374,211,1
388,376,654,1
389,383,300,1
390,383,665,1
391,383,699,1
392,383,42,1
393,383,432,1
394,383,24,1
395,383,439,1
396,383,591,1
397,383,171,1
398,383,215,1
399,383,610,1
400,384,421,1
401,384,323,1
402,391,251,1
403,410,98,1
404,410,154,1
405,411,76,1
406,412,431,1
407,412,160,1
408,412,119,1
409,412,245,1
410,420,606,1
411,420,688,1
412,421,13,1
413,421,498,1
414,421,71,1
415,421,340,1
416,421,374,1
417,421,361,1
418,421,384,1
419,422,452,1
420,423,440,1
421,423,103,1
422,423,62,1
423,423,518,1
424,423,171,1
425,423,451,1
426,423,504,1
427,423,257,1
428,425,262,1
429,425,101,1
430,427,374,1
431,427,97,1
432,431,160,1
433,431,374,1
434,431,571,1
435,431,654,1
436,431,65,1
437,431,97,1
438,431,13,1
439,432,124,1
440,432,665,1
441,432,383,1
442,438,555,1
443,439,416,1
444,439,699,1
445,442,416,1
446,442,359,1
447,442,354,1
448,442,249,1
449,454,696,1
450,454,67,1
451,454,236,1
452,454,685,1
453,454,683,1
454,454,488,1
455,457,152,1
456,457,37,1
457,467,245,1
458,469,101,1
459,474,483,1
460,474,587,1
461,479,368,1
462,479,636,1
463,479,642,1
464,479,518,1
465,479,257,1
466,479,574,1
467,479,296,1
468,479,451,1
469,479,689,1
470,479,153,1
471,479,80,1
472,479,385,1
473,479,14,1
474,479,658,1
475,479,103,1
476,479,213,1
477,479,11,1
478,479,305,1
479,479,504,1
480,479,307,1
481,479,82,1
482,493,296,1
483,493,361,1
484,493,688,1
485,493,483,1
486,493,291,1
487,494,111,1
488,494,244,1
489,498,555,1
490,498,668,1
491,498,700,1
492,498,190,1
493,498,65,1
494,502,685,1
495,509,291,1
496,509,510,1
497,510,226,1
498,510,483,1
499,510,509,1
500,510,629,1
501,512,602,1
502,512,579,1
503,512,402,1
504,512,563,1
505,512,511,1
506,512,519,1
507,512,690,1
508,512,685,1
509,512,320,1
510,512,74,1
511,521,251,1
512,521,101,1
513,527,54,1
514,527,642,1
515,527,81,1
516,527,578,1
517,527,416,1
518,527,681,1
519,527,115,1
520,527,84,1
521,527,624,1
522,527,215,1
523,527,541,1
524,527,659,1
525,527,11,1
526,527,477,1
527,527,511,1
528,527,70,1
529,533,606,1
530,534,315,1
531,534,533,1
532,534,649,1
533,534,320,1
534,534,173,1
535,535,146,1
536,535,623,1
537,535,606,1
538,545,629,1
539,545,320,1
540,555,498,1
541,555,499,1
542,563,320,1
543,563,402,1
544,563,529,1
545,563,297,1
546,563,564,1
547,563,177,1
548,563,497,1
549,563,240,1
550,563,483,1
551,563,658,1
552,564,658,1
553,564,497,1
554,564,153,1
555,564,563,1
556,569,238,1
557,569,497,1
558,569,49,1
559,569,483,1
560,571,431,1
561,571,588,1
562,571,320,1
563,571,493,1
564,571,374,1
565,571,1,1
566,571,198,1
567,571,229,1
568,578,171,1
569,578,518,1
570,578,636,1
571,578,642,1
572,578,659,1
573,578,62,1
574,578,221,1
575,578,11,1
576,578,527,1
577,578,313,1
578,578,516,1
579,578,207,1
580,578,164,1
581,580,625,1
582,587,569,1
583,587,690,1
584,587,483,1
585,587,474,1
586,588,68,1
587,588,366,1
588,588,654,1
589,588,614,1
590,588,431,1
591,588,251,1
592,588,194,1
593,588,551,1
594,588,311,1
595,588,528,1
596,588,571,1
597,588,160,1
598,590,690,1
599,590,385,1
600,590,71,1
601,590,325,1
602,600,320,1
603,600,38,1
604,600,139,1
605,600,74,1
606,601,665,1
607,601,239,1
608,601,383,1
609,601,591,1
610,601,610,1
611,601,42,1
612,601,336,1
613,601,543,1
614,602,690,1
615,602,320,1
616,602,74,1
617,604,537,1
618,604,154,1
619,604,622,1
620,604,588,1
621,606,623,1
622,606,420,1
623,606,146,1
624,606,178,1
625,606,415,1
626,606,17,1
627,606,134,1
628,606,267,1
629,613,421,1
630,614,194,1
631,614,97,1
632,614,248,1
633,614,588,1
634,615,320,1
635,615,57,1
636,615,74,1
637,615,600,1
638,623,146,1
639,623,112,1
640,623,606,1
641,629,97,1
642,629,510,1
643,629,226,1
644,629,545,1
645,639,57,1
646,639,320,1
647,644,49,1
648,644,682,1
649,646,97,1
650,647,385,1
651,647,353,1
652,647,579,1
653,647,14,1
654,647,141,1
655,647,37,1
656,647,305,1
657,647,83,1
658,647,95,1
659,647,443,1
660,647,213,1
661,647,511,1
662,649,534,1
663,649,320,1
664,649,57,1
665,649,687,1
666,649,472,1
667,654,291,1
668,654,630,1
669,654,421,1
670,654,656,1
671,654,286,1
672,654,374,1
673,654,571,1
674,654,97,1
675,654,588,1
676,654,431,1
677,656,260,1
678,656,501,1
679,658,307,1
680,658,153,1
681,658,479,1
682,658,358,1
683,658,564,1
684,660,374,1
685,661,372,1
686,668,498,1
687,671,291,1
688,671,101,1
689,682,231,1
690,682,49,1
691,683,585,1
692,683,454,1
693,683,605,1
694,683,488,1
695,683,445,1
696,683,211,1
697,683,685,1
698,683,696,1
699,683,570,1
700,685,320,1
701,685,454,1
702,685,605,1
703,685,139,1
704,685,236,1
705,685,488,1
706,685,581,1
707,685,299,1
708,685,445,1
709,685,435,1
710,685,67,1
711,688,420,1
712,688,134,1
713,688,654,1
714,688,569,1
715,689,518,1
716,689,574,1
717,689,40,1
718,689,636,1
719,689,479,1
720,689,213,1
721,689,209,1
722,689,83,1
723,689,402,1
724,689,297,1
725,689,81,1
726,689,703,1
727,689,141,1
728,689,511,1
729,689,647,1
730,689,142,1
731,689,451,1
732,689,70,1
733,689,497,1
734,689,642,1
735,689,325,1
736,689,353,1
737,689,257,1
738,689,443,1
739,689,149,1
740,689,171,1
741,689,153,1
742,689,207,1
743,690,74,1
744,690,590,1
745,690,602,1
746,690,512,1
747,690,57,1
748,690,587,1
749,690,238,1
750,700,498,1
751,701,636,1
752,702,571,1
753,13,409,0
754,13,217,0
755,13,11,0
756,13,615,0
757,13,596,0
758,13,363,0
759,14,36,0
760,14,476,0
761,14,169,0
762,14,362,0
763,14,667,0
764,14,115,0
765,14,468,0
766,14,500,0
767,14,592,0
768,14,30,0
769,14,8,0
770,14,308,0
771,14,641,0
772,14,370,0
773,14,492,0
774,14,43,0
775,14,182,0
776,14,39,0
777,14,232,0
778,14,426,0
779,14,498,0
780,14,668,0
781,14,578,0
782,14,63,0
783,15,142,0
784,17,261,0
785,37,572,0
786,37,155,0
787,37,589,0
788,37,20,0
789,37,379,0
790,37,242,0
791,37,388,0
792,37,366,0
793,37,186,0
794,37,559,0
795,37,429,0
796,37,510,0
797,37,94,0
798,37,498,0
799,37,683,0
800,37,169,0
801,37,410,0
802,37,341,0
803,37,210,0
804,37,415,0
805,37,187,0
806,37,137,0
807,37,138,0
808,37,439,0
809,37,270,0
810,37,640,0
811,37,521,0
812,37,533,0
813,37,296,0
814,37,386,0
815,37,464,0
816,38,686,0
