,TF,Target,Label
0,11,377,1
1,13,437,1
2,13,407,1
3,13,326,1
4,13,517,1
5,21,378,1
6,24,26,1
7,24,559,1
8,24,566,1
9,24,611,1
10,29,594,1
11,35,440,1
12,35,222,1
13,35,275,1
14,35,319,1
15,35,164,1
16,35,41,1
17,35,195,1
18,35,205,1
19,35,443,1
20,35,565,1
21,35,508,1
22,35,62,1
23,35,362,1
24,35,488,1
25,35,509,1
26,37,595,1
27,41,164,1
28,41,611,1
29,41,309,1
30,41,243,1
31,41,403,1
32,41,266,1
33,41,455,1
34,41,471,1
35,41,220,1
36,41,240,1
37,41,559,1
38,41,71,1
39,41,167,1
40,41,614,1
41,41,191,1
42,41,98,1
43,41,99,1
44,41,532,1
45,41,566,1
46,41,72,1
47,62,35,1
48,62,195,1
49,92,567,1
50,93,260,1
51,93,321,1
52,93,611,1
53,93,631,1
54,93,604,1
55,112,426,1
56,112,30,1
57,112,451,1
58,112,523,1
59,112,190,1
60,112,34,1
61,112,217,1
62,118,155,1
63,118,563,1
64,118,439,1
65,119,609,1
66,131,377,1
67,131,499,1
68,137,256,1
69,137,489,1
70,137,309,1
71,137,464,1
72,153,576,1
73,153,221,1
74,153,195,1
75,153,488,1
76,155,305,1
77,155,118,1
78,155,439,1
79,158,196,1
80,158,443,1
81,158,164,1
82,158,421,1
83,158,237,1
84,166,261,1
85,174,337,1
86,187,112,1
87,187,551,1
88,187,305,1
89,187,38,1
90,193,304,1
91,193,567,1
92,195,421,1
93,195,164,1
94,195,443,1
95,195,35,1
96,195,446,1
97,195,72,1
98,195,153,1
99,195,62,1
100,196,229,1
101,196,271,1
102,205,625,1
103,205,97,1
104,205,35,1
105,205,606,1
106,205,152,1
107,205,593,1
108,205,169,1
109,205,425,1
110,216,566,1
111,216,611,1
112,216,167,1
113,216,489,1
114,221,509,1
115,221,35,1
116,221,62,1
117,221,587,1
118,221,440,1
119,222,31,1
120,222,35,1
121,229,402,1
122,229,237,1
123,229,321,1
124,229,565,1
125,229,489,1
126,229,256,1
127,229,71,1
128,229,508,1
129,229,191,1
130,229,566,1
131,229,464,1
132,229,111,1
133,229,266,1
134,229,72,1
135,229,309,1
136,229,26,1
137,234,31,1
138,238,567,1
139,243,251,1
140,243,220,1
141,243,508,1
142,243,237,1
143,243,266,1
144,243,565,1
145,243,52,1
146,243,559,1
147,243,254,1
148,243,240,1
149,243,489,1
150,243,421,1
151,243,455,1
152,243,167,1
153,243,99,1
154,243,111,1
155,243,491,1
156,243,464,1
157,243,471,1
158,243,443,1
159,256,489,1
160,256,455,1
161,256,565,1
162,256,191,1
163,256,237,1
164,256,229,1
165,256,421,1
166,256,220,1
167,256,164,1
168,256,479,1
169,256,443,1
170,256,167,1
171,256,566,1
172,256,52,1
173,256,550,1
174,256,508,1
175,256,137,1
176,256,614,1
177,256,41,1
178,256,403,1
179,256,71,1
180,260,46,1
181,260,486,1
182,260,288,1
183,261,439,1
184,261,554,1
185,261,570,1
186,261,564,1
187,261,305,1
188,261,166,1
189,261,31,1
190,261,187,1
191,263,530,1
192,263,364,1
193,263,169,1
194,263,593,1
195,263,514,1
196,263,144,1
197,263,436,1
198,263,625,1
199,263,548,1
200,263,291,1
201,263,342,1
202,263,606,1
203,263,94,1
204,266,52,1
205,266,243,1
206,266,532,1
207,266,508,1
208,266,26,1
209,266,309,1
210,266,220,1
211,266,421,1
212,266,164,1
213,266,240,1
214,266,479,1
215,266,614,1
216,266,98,1
217,266,565,1
218,266,167,1
219,266,72,1
220,266,99,1
221,266,402,1
222,266,464,1
223,266,254,1
224,270,567,1
225,271,158,1
226,271,599,1
227,271,443,1
228,271,446,1
229,271,237,1
230,277,93,1
231,277,315,1
232,288,260,1
233,289,567,1
234,304,576,1
