,TF,Target,Label
0,8,371,1
1,97,590,1
2,97,147,1
3,97,128,1
4,109,340,1
5,109,580,1
6,122,40,1
7,122,649,1
8,148,301,1
9,148,560,1
10,148,150,1
11,150,148,1
12,193,246,1
13,193,325,1
14,208,583,1
15,208,649,1
16,229,340,1
17,229,519,1
18,229,463,1
19,229,499,1
20,229,368,1
21,229,400,1
22,229,621,1
23,331,435,1
24,331,384,1
25,333,494,1
26,368,519,1
27,368,229,1
28,368,580,1
29,368,400,1
30,368,571,1
31,368,332,1
32,368,189,1
33,371,8,1
34,375,687,1
35,384,462,1
36,384,148,1
37,384,331,1
38,384,517,1
39,400,546,1
40,400,133,1
41,400,499,1
42,400,332,1
43,400,340,1
44,400,463,1
45,400,550,1
46,406,208,1
47,435,549,1
48,435,655,1
49,435,632,1
50,435,147,1
51,436,690,1
52,436,560,1
53,442,40,1
54,462,384,1
55,494,691,1
56,494,333,1
57,506,40,1
58,560,407,1
59,560,607,1
60,560,569,1
61,560,195,1
62,560,651,1
63,560,41,1
64,560,148,1
65,560,245,1
66,560,674,1
67,560,432,1
68,583,122,1
69,583,649,1
70,589,389,1
71,610,248,1
72,617,560,1
73,649,208,1
74,649,122,1
75,649,607,1
76,649,150,1
77,655,435,1
78,655,593,1
79,655,134,1
80,655,517,1
81,687,375,1
82,690,436,1
83,690,560,1
84,691,235,1
85,691,580,1
86,691,494,1
87,691,331,1
88,8,656,0
89,97,469,0
90,97,573,0
91,97,91,0
92,109,157,0
93,109,327,0
94,122,80,0
95,122,237,0
96,148,490,0
97,148,91,0
98,148,183,0
99,150,179,0
100,193,147,0
101,193,405,0
102,208,19,0
103,208,175,0
104,229,280,0
105,229,661,0
106,229,485,0
107,229,195,0
108,229,429,0
109,229,255,0
110,229,364,0
111,331,183,0
112,331,689,0
113,333,212,0
114,368,95,0
115,368,517,0
116,368,456,0
117,368,282,0
118,368,614,0
119,368,668,0
120,368,405,0
121,371,363,0
122,375,565,0
123,384,229,0
124,384,576,0
125,384,371,0
126,384,348,0
127,400,17,0
128,400,555,0
129,400,653,0
130,400,236,0
131,400,682,0
132,400,479,0
133,400,462,0
134,406,73,0
135,435,497,0
136,435,154,0
137,435,427,0
138,435,204,0
139,436,497,0
140,436,178,0
141,442,79,0
142,462,136,0
143,494,186,0
144,494,463,0
145,506,210,0
146,560,466,0
147,560,1,0
148,560,671,0
149,560,190,0
150,560,94,0
151,560,37,0
152,560,522,0
153,560,644,0
154,560,29,0
155,560,105,0
156,583,91,0
157,583,610,0
158,589,633,0
159,610,185,0
160,617,532,0
161,649,290,0
162,649,64,0
163,649,82,0
164,649,243,0
165,655,198,0
166,655,356,0
167,655,503,0
168,655,404,0
169,687,665,0
170,690,95,0
171,690,304,0
172,691,629,0
173,691,133,0
174,691,550,0
175,691,112,0
