,TF,Target,Label
0,1,551,1
1,1,30,1
2,1,655,1
3,1,690,1
4,1,430,1
5,1,379,1
6,1,579,1
7,1,541,1
8,1,209,1
9,1,159,1
10,1,696,1
11,1,377,1
12,1,207,1
13,1,435,1
14,1,566,1
15,1,642,1
16,1,143,1
17,1,190,1
18,1,236,1
19,1,535,1
20,1,137,1
21,1,320,1
22,1,533,1
23,1,213,1
24,1,315,1
25,1,7,1
26,1,279,1
27,1,254,1
28,1,426,1
29,1,308,1
30,1,586,1
31,1,373,1
32,1,565,1
33,1,439,1
34,1,267,1
35,1,202,1
36,1,131,1
37,1,176,1
38,1,570,1
39,1,479,1
40,1,102,1
41,1,363,1
42,1,243,1
43,1,271,1
44,1,375,1
45,1,66,1
46,1,527,1
47,1,544,1
48,1,25,1
49,1,664,1
50,1,28,1
51,1,55,1
52,1,562,1
53,1,599,1
54,1,355,1
55,1,348,1
56,1,628,1
57,1,584,1
58,1,679,1
59,1,543,1
60,1,572,1
61,1,470,1
62,1,585,1
63,1,146,1
64,1,164,1
65,1,174,1
66,1,480,1
67,1,658,1
68,1,29,1
69,1,237,1
70,1,76,1
71,1,692,1
72,1,113,1
73,1,303,1
74,1,313,1
75,1,502,1
76,1,501,1
77,1,87,1
78,1,466,1
79,1,275,1
80,1,83,1
81,1,643,1
82,1,353,1
83,1,96,1
84,1,376,1
85,1,526,1
86,1,34,1
87,1,447,1
88,1,508,1
89,1,611,1
90,1,335,1
91,1,2,1
92,1,458,1
93,1,438,1
94,1,48,1
95,1,35,1
96,1,22,1
97,1,72,1
98,1,165,1
99,1,349,1
100,1,559,1
101,1,291,1
102,1,357,1
103,1,391,1
104,1,580,1
105,1,356,1
106,1,13,1
107,1,160,1
108,1,600,1
109,1,414,1
110,1,453,1
111,1,81,1
112,1,651,1
113,1,413,1
114,1,367,1
115,1,653,1
116,1,322,1
117,1,45,1
118,1,647,1
119,1,162,1
120,1,486,1
121,1,530,1
122,1,154,1
123,1,227,1
124,1,432,1
125,1,14,1
126,1,412,1
127,1,188,1
128,1,444,1
129,1,157,1
130,1,384,1
131,1,142,1
132,1,509,1
133,1,136,1
134,1,410,1
135,1,378,1
136,1,606,1
137,1,423,1
138,1,329,1
139,1,415,1
140,1,398,1
141,1,260,1
142,1,523,1
143,1,18,1
144,1,269,1
145,1,549,1
146,1,23,1
147,1,637,1
148,1,573,1
149,1,409,1
150,1,274,1
151,1,592,1
152,1,390,1
153,1,108,1
154,1,370,1
155,1,272,1
156,1,253,1
157,1,163,1
158,1,200,1
159,1,261,1
160,1,525,1
161,1,425,1
162,1,224,1
163,1,80,1
164,1,177,1
165,1,158,1
166,1,232,1
167,1,539,1
168,1,568,1
169,1,283,1
170,1,330,1
171,1,37,1
172,1,4,1
173,1,697,1
174,1,496,1
175,1,608,1
176,1,245,1
177,1,659,1
178,1,168,1
179,1,170,1
180,1,607,1
181,1,369,1
182,1,152,1
183,1,358,1
184,1,234,1
185,1,171,1
186,1,195,1
187,1,702,1
188,1,246,1
189,1,677,1
190,1,296,1
191,1,459,1
192,1,513,1
193,1,354,1
194,1,311,1
195,1,495,1
196,1,57,1
197,1,644,1
198,1,217,1
199,1,457,1
200,1,111,1
201,1,455,1
202,1,324,1
203,1,636,1
204,1,461,1
205,1,416,1
206,1,615,1
207,1,216,1
208,1,471,1
209,1,292,1
210,1,69,1
211,1,71,1
212,1,511,1
213,1,132,1
214,1,437,1
215,1,688,1
216,1,487,1
217,1,309,1
218,1,343,1
219,1,185,1
220,1,84,1
221,1,670,1
222,1,214,1
223,1,364,1
224,1,624,1
225,1,302,1
226,1,116,1
227,1,454,1
228,1,678,1
229,1,371,1
230,1,196,1
231,1,175,1
232,1,497,1
233,1,12,1
234,1,97,1
235,1,431,1
236,1,617,1
237,1,604,1
238,1,319,1
239,1,193,1
240,1,101,1
241,1,293,1
242,1,138,1
243,1,434,1
244,1,198,1
245,1,610,1
246,1,60,1
247,1,558,1
248,1,612,1
249,1,383,1
250,1,631,1
251,1,399,1
252,1,698,1
253,1,289,1
254,1,417,1
255,1,500,1
256,1,401,1
257,1,74,1
258,1,360,1
259,1,531,1
260,1,623,1
261,1,149,1
262,1,64,1
263,12,355,1
264,12,415,1
265,12,357,1
266,12,699,1
267,12,395,1
268,12,539,1
269,12,622,1
270,12,317,1
271,12,50,1
272,12,278,1
273,12,606,1
274,12,476,1
275,12,55,1
276,12,62,1
277,12,657,1
278,12,686,1
279,12,414,1
280,12,4,1
281,12,618,1
282,12,280,1
283,12,189,1
284,12,665,1
285,12,367,1
286,12,166,1
287,12,31,1
288,12,516,1
289,12,98,1
290,12,512,1
291,12,656,1
292,12,558,1
293,12,536,1
294,12,160,1
295,12,594,1
296,12,675,1
297,12,406,1
298,12,318,1
299,12,28,1
300,12,211,1
301,12,637,1
302,12,377,1
303,12,502,1
304,12,309,1
305,12,540,1
306,12,590,1
307,12,0,1
308,12,682,1
309,12,588,1
310,12,634,1
311,12,83,1
312,12,630,1
313,12,647,1
314,12,284,1
315,12,181,1
316,12,669,1
317,12,654,1
318,12,560,1
319,12,696,1
320,12,403,1
321,12,508,1
322,12,591,1
323,12,81,1
324,12,674,1
325,12,132,1
326,12,652,1
327,12,473,1
328,12,125,1
329,12,2,1
330,12,697,1
331,12,457,1
332,12,692,1
333,12,32,1
334,12,438,1
335,12,523,1
336,12,369,1
337,12,97,1
338,12,153,1
339,12,480,1
340,12,232,1
341,12,231,1
342,12,401,1
343,12,296,1
344,12,251,1
345,12,607,1
346,12,567,1
347,12,400,1
348,12,23,1
349,12,453,1
350,12,499,1
351,12,129,1
352,12,85,1
353,12,152,1
354,12,319,1
355,12,488,1
356,12,207,1
357,12,293,1
358,12,36,1
359,12,431,1
360,12,563,1
361,12,448,1
362,12,345,1
363,12,13,1
364,12,511,1
365,12,613,1
366,12,639,1
367,12,633,1
368,12,402,1
369,12,272,1
370,12,75,1
371,12,154,1
372,12,662,1
373,12,483,1
374,12,186,1
375,12,503,1
376,12,316,1
377,12,137,1
378,12,27,1
379,12,73,1
380,12,285,1
381,12,123,1
382,12,589,1
383,12,678,1
384,12,41,1
385,12,383,1
386,12,120,1
387,12,242,1
388,12,104,1
389,12,434,1
390,12,246,1
391,12,356,1
392,12,689,1
393,12,329,1
394,12,10,1
395,12,398,1
396,12,115,1
397,12,141,1
398,12,642,1
399,12,239,1
400,12,110,1
401,12,343,1
402,12,310,1
403,12,586,1
404,12,324,1
405,12,621,1
406,12,283,1
407,12,660,1
408,12,225,1
409,12,255,1
410,12,173,1
411,12,109,1
412,12,459,1
413,12,644,1
414,12,679,1
415,12,228,1
416,12,37,1
417,12,80,1
418,12,337,1
419,12,439,1
420,12,374,1
421,12,419,1
422,12,220,1
423,12,179,1
424,12,489,1
425,12,579,1
426,12,224,1
427,12,87,1
428,12,178,1
429,12,352,1
430,12,350,1
431,12,21,1
432,12,471,1
433,12,248,1
434,12,575,1
435,12,571,1
436,12,265,1
437,12,631,1
438,12,354,1
439,12,617,1
440,12,632,1
441,12,362,1
442,12,210,1
443,12,544,1
444,12,643,1
445,12,192,1
446,12,520,1
447,12,568,1
448,12,145,1
449,12,266,1
450,12,157,1
451,12,533,1
452,12,204,1
453,12,334,1
454,12,254,1
455,12,452,1
456,12,295,1
457,12,183,1
458,12,597,1
459,12,493,1
460,12,16,1
461,12,54,1
462,12,158,1
463,12,515,1
464,12,267,1
465,12,170,1
466,12,306,1
467,12,576,1
468,12,386,1
469,12,693,1
470,12,584,1
471,12,100,1
472,12,530,1
473,12,487,1
474,12,670,1
475,12,275,1
476,12,198,1
477,12,20,1
478,12,102,1
479,12,282,1
480,12,428,1
481,12,526,1
482,12,561,1
483,12,142,1
484,12,258,1
485,12,167,1
486,12,163,1
487,12,472,1
488,12,623,1
489,12,548,1
490,12,233,1
491,12,409,1
492,12,237,1
493,12,440,1
494,12,667,1
495,12,564,1
496,12,545,1
497,12,460,1
498,12,223,1
499,12,370,1
500,12,399,1
501,12,63,1
502,12,702,1
503,12,175,1
504,12,219,1
505,12,314,1
506,12,562,1
507,12,7,1
508,12,305,1
509,12,496,1
510,12,205,1
511,12,227,1
512,12,193,1
513,12,94,1
514,12,501,1
515,12,681,1
516,12,347,1
517,12,648,1
518,12,420,1
519,12,454,1
520,12,673,1
521,12,71,1
522,12,524,1
523,12,303,1
524,12,550,1
525,12,394,1
526,12,445,1
527,12,456,1
528,12,138,1
529,12,441,1
530,12,690,1
531,12,261,1
532,12,320,1
533,12,358,1
534,12,425,1
535,12,155,1
536,12,92,1
537,12,8,1
538,12,624,1
539,12,538,1
540,12,353,1
541,12,466,1
542,12,39,1
543,12,302,1
544,12,505,1
545,12,407,1
546,12,543,1
547,12,507,1
548,12,29,1
549,12,557,1
550,12,292,1
551,12,603,1
552,12,315,1
553,12,68,1
554,12,581,1
555,12,615,1
556,12,478,1
557,12,413,1
558,12,14,1
559,12,626,1
560,12,215,1
561,12,43,1
562,12,159,1
563,12,378,1
564,12,436,1
565,12,298,1
566,12,270,1
567,12,638,1
568,12,218,1
569,12,427,1
570,12,604,1
571,12,701,1
572,12,661,1
573,12,245,1
574,12,513,1
575,12,464,1
576,12,131,1
577,12,147,1
578,12,396,1
579,12,672,1
580,12,666,1
581,12,300,1
582,12,532,1
583,12,565,1
584,12,677,1
585,12,691,1
586,12,53,1
587,12,580,1
588,12,537,1
589,12,46,1
590,12,397,1
591,12,253,1
592,12,365,1
593,12,59,1
594,12,235,1
595,12,578,1
596,12,437,1
597,12,485,1
598,12,47,1
599,12,312,1
