,TF,Target,Label
0,0,185,1
1,0,112,1
2,12,420,1
3,12,538,1
4,12,49,1
5,12,266,1
6,12,100,1
7,12,599,1
8,12,76,1
9,12,129,1
10,12,437,1
11,12,512,1
12,12,70,1
13,12,513,1
14,12,447,1
15,12,254,1
16,12,1,1
17,12,614,1
18,12,125,1
19,12,35,1
20,12,44,1
21,12,500,1
22,12,498,1
23,12,123,1
24,12,207,1
25,12,73,1
26,12,544,1
27,12,116,1
28,12,82,1
29,12,247,1
30,12,104,1
31,12,54,1
32,12,117,1
33,12,588,1
34,12,328,1
35,12,490,1
36,12,20,1
37,12,300,1
38,12,141,1
39,12,2,1
40,12,431,1
41,12,491,1
42,12,523,1
43,12,134,1
44,12,456,1
45,12,521,1
46,12,537,1
47,12,395,1
48,12,598,1
49,12,81,1
50,12,50,1
51,12,337,1
52,12,454,1
53,12,304,1
54,12,199,1
55,12,244,1
56,12,287,1
57,12,62,1
58,12,577,1
59,12,146,1
60,12,601,1
61,12,297,1
62,12,446,1
63,12,217,1
64,12,194,1
65,12,64,1
66,12,24,1
67,12,493,1
68,12,114,1
69,12,113,1
70,12,88,1
71,12,28,1
72,12,102,1
73,12,361,1
74,12,517,1
75,12,132,1
76,12,275,1
77,12,629,1
78,12,535,1
79,12,78,1
80,12,360,1
81,12,169,1
82,12,226,1
83,12,472,1
84,12,173,1
85,12,589,1
86,12,323,1
87,12,283,1
88,12,60,1
89,12,469,1
90,12,555,1
91,12,365,1
92,12,135,1
93,12,273,1
94,12,501,1
95,12,475,1
96,12,282,1
97,12,98,1
98,12,439,1
99,12,235,1
100,12,252,1
101,12,19,1
102,12,558,1
103,12,617,1
104,12,584,1
105,12,318,1
106,12,147,1
107,12,348,1
108,12,631,1
109,12,530,1
110,12,122,1
111,12,423,1
112,12,569,1
113,12,473,1
114,12,233,1
115,12,158,1
116,12,56,1
117,12,208,1
118,12,442,1
119,12,621,1
120,12,218,1
121,12,269,1
122,12,369,1
123,12,34,1
124,12,313,1
125,12,9,1
126,12,554,1
127,12,484,1
128,12,625,1
129,12,65,1
130,12,443,1
131,12,620,1
132,12,435,1
133,12,4,1
134,12,14,1
135,12,611,1
136,12,124,1
137,12,256,1
138,12,271,1
139,12,119,1
140,12,118,1
141,12,260,1
142,12,224,1
143,12,79,1
144,12,451,1
145,12,153,1
146,12,359,1
147,12,145,1
148,12,279,1
149,12,576,1
150,12,184,1
151,12,29,1
152,12,120,1
153,12,345,1
154,80,623,1
155,80,371,1
156,80,490,1
157,80,323,1
158,83,533,1
159,83,499,1
160,83,58,1
161,83,257,1
162,83,404,1
163,83,458,1
164,83,376,1
165,83,340,1
166,83,291,1
167,83,400,1
168,83,532,1
169,83,307,1
170,83,465,1
171,83,436,1
172,83,550,1
173,83,582,1
174,83,278,1
175,83,396,1
176,83,112,1
177,83,341,1
178,83,296,1
179,83,255,1
180,83,77,1
181,83,126,1
182,83,30,1
183,83,186,1
184,83,367,1
185,83,5,1
186,83,98,1
187,83,452,1
188,83,166,1
189,83,96,1
190,83,146,1
191,83,447,1
192,83,61,1
193,83,399,1
194,83,200,1
195,83,427,1
196,83,246,1
197,83,473,1
198,83,211,1
199,83,356,1
200,83,274,1
201,83,206,1
202,83,371,1
203,83,13,1
204,83,611,1
205,83,208,1
206,83,451,1
207,83,522,1
208,83,457,1
209,83,97,1
210,83,411,1
211,83,334,1
212,83,508,1
213,83,253,1
214,83,182,1
215,83,224,1
216,83,493,1
217,83,353,1
218,83,629,1
219,83,297,1
220,83,322,1
221,83,86,1
222,83,512,1
223,83,521,1
224,83,565,1
225,83,390,1
226,83,538,1
227,83,402,1
228,83,332,1
229,83,12,1
230,83,33,1
231,83,488,1
232,83,193,1
233,83,39,1
234,83,138,1
235,83,70,1
236,83,391,1
237,83,266,1
238,83,214,1
239,83,592,1
240,83,610,1
241,83,380,1
242,83,249,1
243,83,364,1
244,83,377,1
245,83,154,1
246,83,141,1
247,83,207,1
248,83,80,1
249,83,563,1
250,83,349,1
251,83,179,1
252,83,481,1
253,83,140,1
254,83,312,1
255,83,85,1
256,83,222,1
257,83,560,1
258,83,276,1
259,83,248,1
260,83,21,1
261,83,25,1
262,83,509,1
263,83,0,1
264,83,267,1
265,83,236,1
266,83,227,1
267,83,212,1
268,83,231,1
269,83,18,1
270,83,474,1
271,83,105,1
272,83,553,1
273,96,411,1
274,96,352,1
275,96,101,1
276,96,550,1
277,96,34,1
278,96,436,1
279,96,343,1
280,96,601,1
281,96,326,1
282,96,42,1
283,96,258,1
284,96,596,1
285,96,93,1
286,96,38,1
287,96,437,1
288,96,6,1
289,96,582,1
290,96,262,1
291,96,459,1
292,96,545,1
293,96,492,1
294,96,295,1
295,96,290,1
296,96,233,1
297,96,30,1
298,96,249,1
299,96,161,1
300,96,516,1
301,96,495,1
302,96,502,1
303,96,619,1
304,96,458,1
305,96,211,1
306,96,133,1
307,96,260,1
308,96,600,1
309,96,348,1
310,96,284,1
311,96,100,1
312,96,546,1
313,96,507,1
314,96,517,1
315,96,170,1
316,96,191,1
317,96,527,1
318,96,353,1
319,96,402,1
320,96,297,1
321,96,172,1
322,96,374,1
323,96,386,1
324,96,506,1
325,96,540,1
326,96,480,1
327,96,599,1
328,96,115,1
329,96,256,1
330,96,332,1
331,96,384,1
332,96,611,1
333,96,92,1
334,96,285,1
335,96,200,1
336,96,628,1
337,96,181,1
338,96,199,1
339,96,31,1
340,96,69,1
341,96,231,1
342,96,97,1
343,96,59,1
344,96,267,1
345,96,412,1
346,96,313,1
347,96,504,1
348,96,121,1
349,96,94,1
350,96,476,1
351,96,590,1
352,96,538,1
353,96,205,1
354,96,610,1
355,96,423,1
356,96,1,1
357,96,615,1
358,96,627,1
359,96,144,1
360,96,217,1
361,96,44,1
362,96,150,1
363,96,373,1
364,96,430,1
365,96,120,1
366,96,324,1
367,96,505,1
368,96,314,1
369,96,560,1
370,96,214,1
371,96,135,1
372,96,64,1
373,96,53,1
374,96,320,1
375,96,9,1
376,96,201,1
377,96,403,1
378,96,500,1
379,96,605,1
380,96,372,1
381,96,334,1
382,96,434,1
383,96,354,1
384,96,74,1
385,96,26,1
386,96,370,1
387,96,317,1
388,96,163,1
389,96,202,1
390,96,25,1
