,TF,Target,Label
2,17,752,1
4,17,919,1
9,17,218,1
14,17,279,1
22,17,430,1
31,17,70,1
36,17,821,1
38,17,324,1
43,17,658,1
50,17,536,1
51,17,10,1
55,17,1080,1
61,17,983,1
68,17,873,1
71,17,393,1
75,17,799,1
77,17,319,1
81,17,654,1
83,17,6,1
88,17,864,1
90,17,248,1
92,17,224,1
94,17,746,1
101,17,912,1
102,17,1112,1
103,17,223,1
108,17,643,1
114,17,200,1
117,17,485,1
121,17,347,1
124,17,747,1
128,17,138,1
150,17,724,1
162,17,844,1
173,17,549,1
174,17,512,1
176,17,31,1
177,17,782,1
179,17,233,1
181,17,201,1
182,17,35,1
188,17,880,1
190,17,194,1
192,17,768,1
194,17,283,1
197,17,954,1
202,17,155,1
211,17,544,1
212,17,995,1
224,17,1092,1
229,17,563,1
246,17,42,1
254,17,800,1
257,17,344,1
260,17,522,1
261,17,614,1
279,17,625,1
281,17,260,1
283,17,695,1
285,17,526,1
286,17,199,1
287,17,19,1
288,17,941,1
291,17,964,1
292,17,230,1
296,17,838,1
297,17,88,1
298,17,379,1
299,17,961,1
306,17,222,1
307,17,451,1
308,17,585,1
310,17,463,1
315,17,290,1
320,17,612,1
324,17,142,1
329,17,326,1
330,17,595,1
335,17,445,1
347,17,1036,1
357,17,385,1
363,17,971,1
366,17,476,1
370,17,611,1
378,17,112,1
380,17,755,1
397,17,351,1
403,17,780,1
410,17,815,1
413,17,539,1
419,17,890,1
426,17,402,1
437,17,949,1
443,17,477,1
447,17,835,1
453,17,884,1
462,17,692,1
467,17,486,1
472,17,847,1
477,17,1130,1
485,17,377,1
486,17,1027,1
495,17,684,1
496,17,1093,1
500,17,94,1
502,17,510,1
508,17,907,1
509,17,371,1
510,17,26,1
517,17,629,1
518,17,45,1
525,17,119,1
527,17,519,1
536,17,38,1
539,17,1063,1
542,17,51,1
548,17,877,1
549,17,924,1
551,17,226,1
569,17,604,1
580,17,1007,1
588,17,1020,1
602,17,1065,1
613,17,86,1
619,17,718,1
625,17,144,1
636,101,897,1
637,101,981,1
639,101,893,1
643,101,917,1
645,101,349,1
649,101,905,1
650,101,971,1
651,101,131,1
656,101,794,1
659,101,237,1
662,101,168,1
676,101,267,1
677,101,23,1
680,101,1080,1
689,101,556,1
691,101,588,1
692,101,402,1
696,101,1131,1
699,101,134,1
705,101,818,1
706,101,844,1
708,101,997,1
710,101,589,1
712,101,929,1
713,101,1063,1
716,101,913,1
718,101,285,1
725,101,471,1
733,101,652,1
734,101,433,1
738,101,571,1
741,101,283,1
753,101,132,1
757,101,434,1
758,101,641,1
763,188,299,1
768,188,908,1
769,188,105,1
770,188,699,1
778,188,410,1
780,188,236,1
782,188,323,1
788,188,764,1
792,188,356,1
796,188,808,1
798,188,314,1
808,188,624,1
811,188,21,1
819,188,468,1
835,188,376,1
841,188,799,1
842,188,91,1
846,188,179,1
847,188,311,1
855,188,226,1
856,188,362,1
857,188,31,1
860,188,153,1
864,188,1029,1
866,188,985,1
867,188,1015,1
882,188,35,1
887,188,600,1
889,188,890,1
892,188,689,1
900,188,923,1
901,188,552,1
908,188,597,1
911,188,555,1
915,188,110,1
916,188,281,1
927,188,979,1
932,188,861,1
940,188,1040,1
943,188,627,1
944,188,563,1
945,188,779,1
956,188,403,1
960,188,420,1
964,188,839,1
975,188,766,1
983,188,92,1
991,188,172,1
995,188,152,1
996,188,366,1
997,188,989,1
1005,188,237,1
1010,188,113,1
1011,188,905,1
1017,188,859,1
1020,188,361,1
1022,188,509,1
1027,188,543,1
1031,188,158,1
1032,188,711,1
1033,188,883,1
1038,188,202,1
1047,188,415,1
1048,188,889,1
1050,188,674,1
1051,188,1004,1
1052,188,401,1
1057,188,537,1
1058,188,300,1
1068,188,723,1
1069,188,294,1
1074,188,1080,1
1083,188,1107,1
1088,188,16,1
1091,188,298,1
1093,188,441,1
1094,188,855,1
1099,188,748,1
1111,188,709,1
1112,188,783,1
1119,188,394,1
1123,188,544,1
1126,188,940,1
1128,188,439,1
1131,188,682,1
1133,188,654,1
1134,188,988,1
1136,188,860,1
1143,188,25,1
1154,188,901,1
1162,188,990,1
1171,188,1017,1
1173,188,160,1
1178,188,728,1
1183,188,1078,1
1190,188,212,1
1191,188,898,1
1198,188,526,1
1214,188,917,1
1220,188,835,1
1227,188,617,1
1234,188,680,1
1247,188,470,1
1254,188,295,1
1257,188,863,1
1259,188,619,1
1269,188,825,1
1272,188,81,1
1274,188,786,1
1284,188,204,1
1285,188,456,1
1288,188,1073,1
1289,188,454,1
1294,188,936,1
1296,188,462,1
1297,188,278,1
1298,188,268,1
1319,188,8,1
1328,188,655,1
1344,188,183,1
1345,188,134,1
