,TF,Target,Label
10,2,766,1
14,2,425,1
15,2,889,1
17,2,247,1
25,2,132,1
26,2,130,1
29,2,519,1
32,2,1159,1
33,2,1178,1
34,2,207,1
37,2,600,1
39,2,860,1
42,2,624,1
44,2,1064,1
46,2,1129,1
50,2,217,1
53,2,150,1
54,2,831,1
56,2,1036,1
57,2,1019,1
67,2,901,1
68,2,715,1
70,2,1071,1
71,2,331,1
79,2,1012,1
85,2,429,1
88,2,840,1
92,2,301,1
94,2,683,1
95,2,975,1
105,2,1145,1
114,2,722,1
120,2,996,1
128,2,199,1
135,2,88,1
138,2,724,1
139,2,1198,1
141,2,598,1
142,2,204,1
150,2,884,1
151,2,441,1
153,2,305,1
154,2,914,1
165,2,499,1
169,2,1102,1
170,2,584,1
176,2,52,1
178,2,1194,1
180,2,174,1
182,2,647,1
186,2,666,1
188,2,118,1
193,2,909,1
195,2,529,1
200,2,1034,1
202,2,82,1
204,2,187,1
205,2,98,1
206,2,341,1
208,2,691,1
209,2,738,1
212,2,159,1
214,2,327,1
215,2,277,1
217,2,471,1
225,2,942,1
226,2,15,1
228,2,405,1
230,2,866,1
231,2,976,1
233,2,912,1
234,2,230,1
235,2,589,1
236,2,891,1
237,2,105,1
238,2,716,1
239,2,1123,1
244,2,1156,1
264,2,19,1
265,2,926,1
267,2,810,1
270,2,1197,1
271,2,393,1
273,2,790,1
275,2,591,1
277,2,745,1
287,2,863,1
290,2,173,1
291,2,557,1
293,2,787,1
298,2,189,1
300,2,622,1
302,2,883,1
303,2,317,1
306,2,631,1
311,2,772,1
317,2,894,1
319,2,140,1
321,2,440,1
327,2,588,1
329,2,261,1
330,2,1093,1
333,2,892,1
340,2,165,1
342,2,802,1
345,2,379,1
347,2,412,1
351,2,971,1
359,2,719,1
360,2,290,1
361,2,1061,1
362,2,114,1
366,2,687,1
369,2,475,1
372,2,819,1
379,2,403,1
380,2,432,1
382,2,603,1
384,2,210,1
386,2,302,1
388,2,503,1
391,2,222,1
392,2,930,1
397,2,983,1
398,2,817,1
