,TF,Target,Label
0,46,547,1
2,46,929,1
6,46,81,1
7,46,724,1
9,46,540,1
12,46,484,1
13,46,420,1
18,46,45,1
21,46,121,1
28,46,1108,1
30,46,276,1
32,46,892,1
38,46,990,1
39,46,249,1
40,46,804,1
42,46,622,1
45,46,702,1
47,46,356,1
48,46,119,1
52,46,289,1
54,46,573,1
55,46,883,1
58,46,729,1
60,46,663,1
63,46,536,1
64,46,926,1
70,46,947,1
71,46,1097,1
77,51,44,1
79,51,1078,1
80,51,296,1
81,51,290,1
83,51,4,1
98,51,1024,1
100,51,566,1
102,51,193,1
104,51,1060,1
105,51,128,1
107,51,671,1
110,51,896,1
112,51,64,1
118,51,547,1
121,51,999,1
122,51,543,1
125,51,243,1
126,51,111,1
130,51,156,1
135,51,146,1
139,51,79,1
142,51,1065,1
146,51,1003,1
154,51,215,1
157,51,927,1
158,51,70,1
159,51,462,1
160,51,481,1
166,51,122,1
172,51,980,1
176,51,237,1
177,51,142,1
178,51,88,1
180,51,996,1
185,51,986,1
186,51,145,1
187,51,771,1
192,51,45,1
202,51,502,1
204,51,485,1
206,51,1059,1
209,51,550,1
210,51,961,1
213,51,151,1
215,51,440,1
217,51,596,1
221,51,65,1
222,51,697,1
226,51,828,1
227,51,380,1
228,51,587,1
232,51,236,1
233,51,540,1
234,51,208,1
236,51,1022,1
239,51,886,1
240,51,417,1
244,51,755,1
246,51,694,1
247,51,815,1
248,51,974,1
251,51,826,1
254,51,751,1
258,51,459,1
259,51,729,1
260,51,311,1
263,51,1020,1
264,51,119,1
269,51,513,1
272,51,760,1
278,51,601,1
282,51,140,1
283,51,372,1
288,51,835,1
292,51,893,1
295,51,565,1
301,51,763,1
304,51,597,1
307,51,476,1
311,51,836,1
313,51,557,1
316,51,818,1
317,51,1118,1
318,51,180,1
320,51,71,1
322,51,226,1
323,51,461,1
326,51,795,1
327,51,402,1
333,51,511,1
340,51,731,1
345,51,154,1
346,51,34,1
347,51,134,1
349,51,503,1
352,51,1,1
356,51,76,1
358,51,371,1
361,51,883,1
363,51,832,1
365,51,645,1
368,51,646,1
371,51,1058,1
373,51,428,1
374,51,306,1
378,51,674,1
382,51,200,1
384,51,299,1
387,51,431,1
391,51,571,1
392,51,138,1
393,51,841,1
394,51,78,1
397,51,644,1
398,51,545,1
404,51,497,1
405,51,315,1
407,51,408,1
408,51,1011,1
409,51,161,1
411,51,668,1
414,51,855,1
415,51,230,1
416,51,939,1
418,51,80,1
420,51,85,1
421,51,679,1
424,51,504,1
425,51,207,1
426,51,281,1
428,51,744,1
430,51,3,1
431,51,1088,1
437,51,1079,1
439,51,873,1
443,51,824,1
444,51,421,1
445,51,225,1
448,51,930,1
451,51,784,1
457,51,224,1
458,51,752,1
467,51,851,1
469,51,635,1
471,51,1075,1
473,51,194,1
476,51,341,1
478,51,638,1
480,51,548,1
485,51,395,1
486,51,125,1
487,51,490,1
488,51,568,1
489,51,696,1
491,51,451,1
492,51,141,1
502,51,859,1
503,51,366,1
506,51,471,1
507,51,647,1
512,51,660,1
515,51,951,1
516,51,1069,1
522,51,747,1
523,51,758,1
524,51,81,1
526,51,1072,1
529,51,711,1
533,51,1014,1
