,TF,Target,Label
1,14,27,1
5,14,83,1
9,14,167,1
14,14,49,1
15,14,79,1
16,14,351,1
22,14,225,1
24,14,8,1
25,14,420,1
26,14,174,1
28,14,284,1
32,14,344,1
36,14,360,1
39,14,265,1
44,14,40,1
46,14,3,1
50,14,223,1
51,14,453,1
53,14,509,1
57,14,280,1
58,14,411,1
62,14,161,1
63,14,163,1
65,14,57,1
68,14,457,1
69,14,169,1
73,14,35,1
74,14,175,1
81,14,348,1
82,14,549,1
84,14,293,1
91,14,234,1
97,14,327,1
98,14,257,1
102,14,525,1
108,14,39,1
111,14,61,1
113,14,484,1
115,14,84,1
119,14,392,1
121,14,473,1
122,14,531,1
124,14,340,1
125,14,160,1
126,14,513,1
131,14,241,1
133,14,21,1
137,14,381,1
139,14,178,1
144,14,282,1
146,14,105,1
154,14,395,1
156,14,295,1
158,14,44,1
160,14,238,1
163,14,227,1
164,14,397,1
168,14,454,1
172,14,495,1
174,14,507,1
176,14,376,1
181,14,42,1
184,14,183,1
190,14,357,1
191,14,463,1
197,14,510,1
199,14,47,1
200,14,128,1
201,14,451,1
202,14,247,1
204,14,200,1
210,14,511,1
213,14,365,1
215,14,77,1
222,14,93,1
223,14,522,1
224,14,455,1
229,71,520,1
230,71,39,1
236,71,243,1
238,71,201,1
243,71,256,1
244,71,63,1
245,71,504,1
246,71,20,1
250,71,195,1
254,71,2,1
260,71,375,1
261,71,133,1
263,71,299,1
266,71,446,1
268,71,510,1
271,71,13,1
272,71,332,1
273,71,241,1
275,71,500,1
276,71,477,1
277,71,400,1
278,71,55,1
287,71,259,1
288,71,47,1
294,71,284,1
295,71,450,1
296,71,291,1
299,71,494,1
303,71,8,1
304,71,295,1
305,71,524,1
309,71,528,1
311,71,416,1
312,71,173,1
313,71,218,1
316,71,365,1
317,71,397,1
318,71,73,1
319,71,325,1
320,71,360,1
322,71,554,1
325,71,336,1
327,71,318,1
331,71,402,1
332,71,225,1
335,71,229,1
336,71,87,1
339,71,250,1
342,71,123,1
346,71,61,1
347,71,408,1
349,71,492,1
350,71,543,1
351,71,558,1
352,71,363,1
353,71,94,1
354,71,216,1
356,71,495,1
359,71,300,1
360,71,65,1
361,71,149,1
362,71,533,1
364,71,465,1
365,74,154,1
367,74,43,1
368,74,315,1
369,74,343,1
377,74,448,1
378,74,231,1
379,74,116,1
380,74,517,1
381,74,519,1
385,74,222,1
390,74,397,1
391,74,383,1
395,74,0,1
396,74,188,1
399,74,269,1
404,74,456,1
407,74,308,1
408,74,558,1
411,74,200,1
412,74,477,1
413,74,421,1
414,74,67,1
416,74,286,1
417,74,430,1
418,74,14,1
421,74,371,1
422,74,522,1
429,74,518,1
432,74,474,1
433,74,121,1
435,74,439,1
437,74,339,1
441,74,298,1
443,74,408,1
446,74,392,1
447,74,328,1
448,74,455,1
449,74,271,1
452,74,487,1
459,74,493,1
461,74,502,1
462,74,401,1
463,74,193,1
464,74,504,1
465,74,437,1
468,74,410,1
471,74,352,1
473,74,288,1
475,74,32,1
478,74,40,1
479,74,414,1
480,74,304,1
481,74,525,1
485,74,191,1
489,74,256,1
490,74,136,1
491,74,415,1
493,74,330,1
494,74,59,1
495,74,514,1
503,97,281,1
505,97,185,1
510,97,121,1
522,97,360,1
524,97,194,1
525,97,450,1
527,97,379,1
529,97,407,1
532,97,492,1
533,97,165,1
536,97,455,1
540,97,212,1
543,97,513,1
545,97,317,1
548,97,122,1
549,97,377,1
550,97,42,1
551,97,462,1
553,97,239,1
554,97,445,1
555,97,533,1
557,97,23,1
560,97,49,1
565,97,295,1
566,97,286,1
569,97,198,1
574,97,260,1
575,97,137,1
576,97,178,1
577,97,87,1
578,97,465,1
579,97,397,1
582,97,144,1
586,97,33,1
588,97,146,1
594,97,358,1
596,97,425,1
600,97,187,1
602,97,245,1
604,97,256,1
608,97,91,1
610,97,390,1
611,97,40,1
614,97,115,1
618,97,336,1
623,97,536,1
625,97,539,1
631,97,505,1
633,97,152,1
634,97,210,1
635,97,518,1
636,97,545,1
639,97,380,1
641,97,381,1
642,97,123,1
648,97,326,1
649,97,269,1
651,97,415,1
652,97,236,1
654,97,285,1
657,97,270,1
662,97,477,1
663,97,183,1
664,97,234,1
665,97,138,1
670,97,280,1
671,97,21,1
672,97,408,1
673,97,367,1
678,97,479,1
679,97,209,1
682,97,214,1
683,97,489,1
684,97,2,1
